method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,7.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,49080.0,687136.0,14.000325998370007,334.9839129371769,7.0,1.0,27.0,2.0,9.0,1.0,1.0,-1.0,9.0,49080.0,687136.0,14.000325998370007,334.9839129371769,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1.0,1.0,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,49080.0,687136.0,14.000325998370007,334.9839129371769,4.0,23.0,30.0,23.0,28.0,1.0,1.0,-1.0,28.0,49080.0,687136.0,14.000325998370007,334.9839129371769,0
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,49.0,1.0,1.0,-1.0,49.0,49080.0,687136.0,14.000325998370007,334.9839129371769,10.0,1.0,1.0,2.0,49.0,1.0,1.0,-1.0,49.0,49080.0,687136.0,14.000325998370007,334.9839129371769,0
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,49080.0,687136.0,14.000325998370007,334.9839129371769,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,49080.0,687136.0,14.000325998370007,334.9839129371769,0
<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager: void <clinit>()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SchemaManager$$ExternalSyntheticLambda4: void <clinit>()>,1.0,1.0,6.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,49080.0,687136.0,14.000325998370007,334.9839129371769,6.0,2.0,1.0,1.0,12.0,1.0,1.0,-1.0,12.0,49080.0,687136.0,14.000325998370007,334.9839129371769,0
"<com.google.firebase.platforminfo.LibraryVersionComponent: com.google.firebase.platforminfo.LibraryVersion lambda$fromContext$0(java.lang.String,com.google.firebase.platforminfo.LibraryVersionComponent$VersionExtractor,com.google.firebase.components.ComponentContainer)>",0,<com.google.firebase.components.AbstractComponentContainer: java.lang.Object get(java.lang.Class)>,1.0,1.0,10.0,1.0,14.0,8.0,8.0,1.0,1.0,-1.0,8.0,49080.0,687136.0,14.000325998370007,334.9839129371769,10.0,1.0,14.0,8.0,8.0,1.0,1.0,-1.0,8.0,49080.0,687136.0,14.000325998370007,334.9839129371769,0
<com.google.firebase.FirebaseApp: java.lang.String getPersistenceKey()>,0,<com.google.firebase.FirebaseOptions: java.lang.String getApplicationId()>,1.0,1.0,7.0,4.0,0.0,6.0,9.0,1.0,1.0,-1.0,9.0,49080.0,687136.0,14.000325998370007,334.9839129371769,7.0,4.0,0.0,6.0,9.0,1.0,1.0,-1.0,9.0,49080.0,687136.0,14.000325998370007,334.9839129371769,1
<com.google.firebase.heartbeatinfo.DefaultHeartBeatController: java.lang.String lambda$getHeartBeatsHeader$2$com-google-firebase-heartbeatinfo-DefaultHeartBeatController()>,0,<com.google.firebase.heartbeatinfo.DefaultHeartBeatController$$ExternalSyntheticLambda1: java.lang.Object get()>,1.0,1.0,6.0,1.0,2.0,13.0,122.0,1.0,1.0,-1.0,122.0,49080.0,687136.0,14.000325998370007,334.9839129371769,6.0,1.0,2.0,13.0,122.0,1.0,1.0,-1.0,122.0,49080.0,687136.0,14.000325998370007,334.9839129371769,0
<io.branch.referral.TrackingController: void updateTrackingState(android.content.Context)>,0,<io.branch.referral.PrefHelper: boolean getBool(java.lang.String)>,1.0,1.0,4.0,2.0,0.0,5.0,3.0,1.0,1.0,-1.0,3.0,49080.0,687136.0,14.000325998370007,334.9839129371769,4.0,2.0,0.0,5.0,3.0,1.0,1.0,-1.0,3.0,49080.0,687136.0,14.000325998370007,334.9839129371769,1
<com.google.android.datatransport.runtime.TransportRuntime_Factory: com.google.android.datatransport.runtime.TransportRuntime get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_UptimeClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,4.0,23.0,1.0,23.0,28.0,1.0,1.0,-1.0,28.0,49080.0,687136.0,14.000325998370007,334.9839129371769,4.0,23.0,1.0,23.0,28.0,1.0,1.0,-1.0,28.0,49080.0,687136.0,14.000325998370007,334.9839129371769,0
<com.google.firebase.installations.FirebaseInstallations: void preConditionChecks()>,0,<com.google.firebase.installations.FirebaseInstallations: java.lang.String getApiKey()>,1.0,1.0,10.0,2.0,2.0,4.0,8.0,1.0,1.0,-1.0,8.0,49080.0,687136.0,14.000325998370007,334.9839129371769,10.0,2.0,2.0,4.0,8.0,1.0,1.0,-1.0,8.0,49080.0,687136.0,14.000325998370007,334.9839129371769,1
<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>,0,<com.google.android.gms.ads.identifier.AdvertisingIdClient: void zzb(boolean)>,1.0,1.0,7.0,2.0,21.0,2.0,6.0,1.0,1.0,-1.0,6.0,49080.0,687136.0,14.000325998370007,334.9839129371769,7.0,2.0,21.0,2.0,6.0,1.0,1.0,-1.0,6.0,49080.0,687136.0,14.000325998370007,334.9839129371769,1
