method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,6.0,2.0,3.0,2.0,506.0,1.0,1.0,-1.0,506.0,20760.0,240821.0,11.6002408477842,198.044560067436,6.0,2.0,3.0,2.0,506.0,1.0,1.0,-1.0,506.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<com.google.android.play.core.appupdate.zzh: java.lang.Object zza()>,0,<com.google.android.play.core.appupdate.internal.zzad: java.lang.Object zza()>,1.0,1.0,10.0,5.0,13.0,5.0,9.0,1.0,1.0,-1.0,9.0,20760.0,240821.0,11.6002408477842,198.044560067436,10.0,5.0,13.0,5.0,9.0,1.0,1.0,-1.0,9.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<org.mtransit.android.commons.provider.GTFSProvider: java.lang.String getAREA_MAX_LNG(android.content.Context)>,0,<org.mtransit.android.commons.provider.GTFSProvider: void <clinit>()>,1.0,1.0,6.0,1.0,0.0,25.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,6.0,1.0,0.0,25.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
"<org.mtransit.android.commons.MTLog: void doLog(org.mtransit.android.commons.MTLog$LogMethod,java.lang.String,java.lang.String,java.lang.Object[])>",0,<org.mtransit.android.commons.MTLog: void <clinit>()>,1.0,1.0,5.0,6.0,1.0,440.0,5.0,1.0,1.0,-1.0,5.0,20760.0,240821.0,11.6002408477842,198.044560067436,5.0,6.0,1.0,440.0,5.0,1.0,1.0,-1.0,5.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
"<org.mtransit.android.commons.LinkUtils: boolean open(android.content.Context,android.content.Intent,java.lang.String)>",0,<org.mtransit.android.commons.ToastUtils: void <clinit>()>,1.0,1.0,7.0,2.0,0.0,7.0,9.0,1.0,1.0,-1.0,9.0,20760.0,240821.0,11.6002408477842,198.044560067436,7.0,2.0,0.0,7.0,9.0,1.0,1.0,-1.0,9.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
"<com.google.android.gms.security.ProviderInstaller: void installIfNeededAsync(android.content.Context,com.google.android.gms.security.ProviderInstaller$ProviderInstallListener)>",0,"<com.google.android.gms.security.zza: void <init>(android.content.Context,com.google.android.gms.security.ProviderInstaller$ProviderInstallListener)>",1.0,1.0,4.0,2.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,20760.0,240821.0,11.6002408477842,198.044560067436,4.0,2.0,1.0,1.0,10.0,1.0,1.0,-1.0,10.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<org.mtransit.android.commons.provider.GTFSProvider: boolean isAgencySetupRequired()>,0,"<org.mtransit.android.commons.SqlUtils: int getCurrentDbVersion(android.content.Context,java.lang.String)>",1.0,1.0,5.0,2.0,9.0,2.0,7.0,1.0,1.0,-1.0,7.0,20760.0,240821.0,11.6002408477842,198.044560067436,5.0,2.0,9.0,2.0,7.0,1.0,1.0,-1.0,7.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<org.mtransit.commons.GTFSCommons: void <clinit>()>,0,<org.mtransit.commons.sql.SQLCreateBuilder: void <clinit>()>,1.0,1.0,6.0,16.0,1.0,7.0,12.0,1.0,1.0,-1.0,12.0,20760.0,240821.0,11.6002408477842,198.044560067436,6.0,16.0,1.0,7.0,12.0,1.0,1.0,-1.0,12.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<org.mtransit.android.commons.provider.GTFSProvider: java.lang.String getAREA_MAX_LAT(android.content.Context)>,0,<org.mtransit.android.commons.provider.GTFSProvider: void <clinit>()>,1.0,1.0,6.0,1.0,0.0,25.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,6.0,1.0,0.0,25.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
"<org.mtransit.android.commons.MTLog: void d(org.mtransit.android.commons.MTLog$Loggable,java.lang.String)>",0,<org.mtransit.android.commons.provider.GTFSProvider: java.lang.String getLogTag()>,1.0,1.0,3.0,14.0,1.0,9.0,143.0,1.0,1.0,-1.0,143.0,20760.0,240821.0,11.6002408477842,198.044560067436,3.0,14.0,1.0,9.0,143.0,1.0,1.0,-1.0,143.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<com.google.android.gms.common.zzn: void <clinit>()>,0,<com.google.android.gms.common.zzi: void <init>(byte[])>,1.0,1.0,10.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,7.0,20760.0,240821.0,11.6002408477842,198.044560067436,10.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,7.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<org.mtransit.android.commons.ui.ModuleRedirectActivity: void onButtonClicked()>,0,"<org.mtransit.android.commons.PackageManagerUtils: boolean isAppInstalled(android.content.Context,java.lang.String)>",1.0,1.0,4.0,1.0,1.0,2.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,4.0,1.0,1.0,2.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<org.mtransit.android.commons.provider.GTFSCurrentNextProvider: int getLAST_LAST_DEPARTURE_IN_SEC(android.content.Context)>,0,<org.mtransit.android.commons.provider.GTFSCurrentNextProvider: void <clinit>()>,1.0,1.0,6.0,2.0,0.0,26.0,4.0,1.0,1.0,-1.0,4.0,20760.0,240821.0,11.6002408477842,198.044560067436,6.0,2.0,0.0,26.0,4.0,1.0,1.0,-1.0,4.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<com.google.android.play.core.appupdate.zzu: java.lang.Object zza()>,0,<com.google.android.play.core.appupdate.zzt: void <init>(android.content.Context)>,1.0,1.0,10.0,5.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,10.0,5.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
"<org.mtransit.android.commons.provider.GTFSProvider: int getAvailableVersionCode(android.content.Context,java.lang.String)>",0,"<org.mtransit.android.commons.AppUpdateUtils: int getAvailableVersionCode(android.content.Context,java.lang.String)>",1.0,1.0,5.0,2.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,5.0,2.0,6.0,2.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<org.mtransit.android.commons.provider.GTFSRTSProvider: void <clinit>()>,0,<org.mtransit.android.commons.SqlUtils: void <clinit>()>,1.0,1.0,4.0,8.0,0.0,89.0,12.0,1.0,1.0,-1.0,12.0,20760.0,240821.0,11.6002408477842,198.044560067436,4.0,8.0,0.0,89.0,12.0,1.0,1.0,-1.0,12.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<com.google.android.play.core.appupdate.zzc: void <init>(android.content.Context)>,0,"<com.google.android.play.core.appupdate.internal.zzl: void <init>(com.google.android.play.core.appupdate.internal.zzm,android.content.IntentFilter,android.content.Context)>",1.0,1.0,11.0,1.0,3.0,1.0,4.0,1.0,1.0,-1.0,4.0,20760.0,240821.0,11.6002408477842,198.044560067436,11.0,1.0,3.0,1.0,4.0,1.0,1.0,-1.0,4.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
"<org.mtransit.android.commons.AppUpdateUtils: void triggerRefreshIfNecessary$lambda$1(org.mtransit.android.commons.AppUpdateUtils,int,android.content.Context,int,com.google.android.gms.tasks.Task)>",0,"<org.mtransit.android.commons.MTLog: void w(org.mtransit.android.commons.MTLog$Loggable,java.lang.Throwable,java.lang.String,java.lang.Object[])>",1.0,1.0,10.0,1.0,143.0,159.0,14.0,1.0,1.0,-1.0,14.0,20760.0,240821.0,11.6002408477842,198.044560067436,10.0,1.0,143.0,159.0,14.0,1.0,1.0,-1.0,14.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
"<org.mtransit.android.commons.AppUpdateUtils: long getLastCheckInMs(android.content.Context,long)>",0,"<org.mtransit.android.commons.PreferenceUtils: long getPrefLcl(android.content.Context,java.lang.String,long)>",1.0,1.0,9.0,1.0,3.0,26.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,9.0,1.0,3.0,26.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<com.google.android.play.core.appupdate.internal.zzad: void <init>(com.google.android.play.core.appupdate.internal.zzaf)>,0,<com.google.android.play.core.appupdate.internal.zzad: void <clinit>()>,1.0,1.0,13.0,1.0,1.0,4.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,13.0,1.0,1.0,4.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<org.mtransit.android.commons.PackageManagerUtils: java.util.List getAllInstalledProvidersWithMetaData(android.content.pm.PackageManager)>,0,<org.mtransit.android.commons.MTLog: void <clinit>()>,1.0,1.0,5.0,1.0,1.0,440.0,3.0,1.0,1.0,-1.0,3.0,20760.0,240821.0,11.6002408477842,198.044560067436,5.0,1.0,1.0,440.0,3.0,1.0,1.0,-1.0,3.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<org.mtransit.commons.sql.SQLCreateBuilder$Companion: org.mtransit.commons.sql.SQLCreateBuilder getNew(java.lang.String)>,0,<org.mtransit.commons.sql.SQLCreateBuilder: void <clinit>()>,1.0,1.0,7.0,2.0,1.0,7.0,3.0,1.0,1.0,-1.0,3.0,20760.0,240821.0,11.6002408477842,198.044560067436,7.0,2.0,1.0,7.0,3.0,1.0,1.0,-1.0,3.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<com.google.android.gms.common.GoogleApiAvailabilityLight: void <clinit>()>,0,<com.google.android.gms.common.GoogleApiAvailabilityLight: void <init>()>,1.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,5.0,6.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
"<org.mtransit.android.commons.PreferenceUtils: void savePrefLcl(android.content.Context,java.lang.String,java.lang.Boolean,boolean)>",0,"<org.mtransit.android.commons.PreferenceUtils: void savePref(android.content.SharedPreferences,java.lang.String,java.lang.Boolean)>",1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,6.0,1.0,1.0,1.0,8.0,1.0,1.0,-1.0,8.0,20760.0,240821.0,11.6002408477842,198.044560067436,0
<com.google.android.gms.tasks.TaskExecutors: void <clinit>()>,0,<com.google.android.gms.tasks.zzu: void <init>()>,1.0,1.0,9.0,5.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,9.0,5.0,3.0,1.0,2.0,1.0,1.0,-1.0,2.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
<com.google.android.gms.security.ProviderInstaller: void installIfNeeded(android.content.Context)>,0,"<com.google.android.gms.security.ProviderInstaller: java.lang.reflect.Method zzb(android.content.Context,java.lang.String,java.lang.String,java.lang.Class[])>",1.0,1.0,6.0,1.0,3.0,2.0,26.0,1.0,1.0,-1.0,26.0,20760.0,240821.0,11.6002408477842,198.044560067436,6.0,1.0,3.0,2.0,26.0,1.0,1.0,-1.0,26.0,20760.0,240821.0,11.6002408477842,198.044560067436,1
