method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.facebook.internal.NativeProtocol: void updateAllAvailableProtocolVersionsAsync$lambda-1()>,0,<com.facebook.internal.instrument.crashshield.CrashShieldHandler: boolean isObjectCrashing(java.lang.Object)>,1.0,1.0,5.0,1.0,23.0,462.0,189.0,1.0,1.0,-1.0,189.0,48816.0,687720.0,14.088003933136676,372.149726632932,5.0,1.0,23.0,462.0,189.0,1.0,1.0,-1.0,189.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,<com.facebook.appevents.AppEventQueue: void <clinit>()>,1.0,1.0,6.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
"<com.facebook.appevents.AppEvent: org.json.JSONObject getJSONObjectForAppEvent(java.lang.String,java.lang.String,java.lang.Double,android.os.Bundle,java.util.UUID)>",0,<com.facebook.appevents.restrictivedatafilter.RestrictiveDataManager: java.lang.String processEvent(java.lang.String)>,1.0,1.0,8.0,1.0,6.0,1.0,258.0,1.0,1.0,-1.0,258.0,48816.0,687720.0,14.088003933136676,372.149726632932,8.0,1.0,6.0,1.0,258.0,1.0,1.0,-1.0,258.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<com.braze.configuration.BrazeConfigurationProvider: boolean isAdmMessagingRegistrationEnabled()>,0,<com.braze.configuration.BrazeConfigurationProvider$b: java.lang.String b()>,1.0,1.0,5.0,3.0,0.0,40.0,3.0,1.0,1.0,-1.0,3.0,48816.0,687720.0,14.088003933136676,372.149726632932,5.0,3.0,0.0,40.0,3.0,1.0,1.0,-1.0,3.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<bo.app.l$a: java.lang.String a(java.lang.String)>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,7.0,1.0,1.0,2185.0,2.0,1.0,1.0,-1.0,2.0,48816.0,687720.0,14.088003933136676,372.149726632932,7.0,1.0,1.0,2185.0,2.0,1.0,1.0,-1.0,2.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<com.braze.support.BrazeLogger: void setLogLevel(int)>,0,<com.braze.support.BrazeLogger: void <clinit>()>,1.0,1.0,6.0,2.0,1.0,660.0,4.0,1.0,1.0,-1.0,4.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,2.0,1.0,660.0,4.0,1.0,1.0,-1.0,4.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
<kotlinx.coroutines.CancellableContinuationImpl: java.lang.Object getResult()>,0,<kotlinx.coroutines.AbstractCoroutine: boolean isActive()>,1.0,1.0,7.0,12.0,1.0,7.0,31.0,1.0,1.0,-1.0,31.0,48816.0,687720.0,14.088003933136676,372.149726632932,7.0,12.0,1.0,7.0,31.0,1.0,1.0,-1.0,31.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
"<kotlin.sequences.SequencesKt___SequencesKt: java.util.Collection toCollection(kotlin.sequences.Sequence,java.util.Collection)>",0,<kotlin.sequences.SequencesKt__SequencesKt$asSequence$$inlined$Sequence$1: java.util.Iterator iterator()>,1.0,1.0,6.0,2.0,0.0,46.0,273.0,1.0,1.0,-1.0,273.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,2.0,0.0,46.0,273.0,1.0,1.0,-1.0,273.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
<bo.app.p: void openSession(android.app.Activity)>,0,<com.braze.support.BrazeLogger: void <clinit>()>,1.0,1.0,5.0,1.0,1.0,660.0,11.0,1.0,1.0,-1.0,11.0,48816.0,687720.0,14.088003933136676,372.149726632932,5.0,1.0,1.0,660.0,11.0,1.0,1.0,-1.0,11.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
<com.appboy.enums.CardKey$Provider: com.appboy.enums.CardType getCardTypeFromJson(org.json.JSONObject)>,0,<com.appboy.enums.CardKey: java.util.Map access$getCardTypeMap$cp()>,1.0,1.0,8.0,1.0,1.0,1.0,58.0,1.0,1.0,-1.0,58.0,48816.0,687720.0,14.088003933136676,372.149726632932,8.0,1.0,1.0,1.0,58.0,1.0,1.0,-1.0,58.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<com.facebook.appevents.codeless.ViewIndexingTrigger: void <clinit>()>,0,<com.facebook.appevents.codeless.ViewIndexingTrigger$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)>,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,48816.0,687720.0,14.088003933136676,372.149726632932,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<bo.app.g6: void <clinit>()>,0,<com.braze.support.BrazeLogger: java.lang.String getBrazeLogTag(java.lang.Class)>,1.0,1.0,6.0,17.0,7.0,45.0,5.0,1.0,1.0,-1.0,5.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,17.0,7.0,45.0,5.0,1.0,1.0,-1.0,5.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
"<kotlin.text.StringsKt__StringsKt: java.util.List split(java.lang.CharSequence,java.lang.String[],boolean,int)>",0,<kotlin.sequences.TransformingSequence$iterator$1: boolean hasNext()>,1.0,1.0,7.0,1.0,90.0,813.0,329.0,1.0,1.0,-1.0,329.0,48816.0,687720.0,14.088003933136676,372.149726632932,7.0,1.0,90.0,813.0,329.0,1.0,1.0,-1.0,329.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
<com.facebook.internal.LockOnGetVariable: void <init>(java.util.concurrent.Callable)>,0,<kotlinx.coroutines.EventLoopImplBase$DelayedResumeTask: void run()>,1.0,1.0,4.0,1.0,2.0,125.0,634.0,1.0,1.0,-1.0,634.0,48816.0,687720.0,14.088003933136676,372.149726632932,4.0,1.0,2.0,125.0,634.0,1.0,1.0,-1.0,634.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
"<com.braze.support.PermissionUtils: boolean hasPermission(android.content.Context,java.lang.String)>",0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,6.0,5.0,1.0,2185.0,7.0,1.0,1.0,-1.0,7.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,5.0,1.0,2185.0,7.0,1.0,1.0,-1.0,7.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<com.facebook.internal.Utility: void runOnNonUiThread(java.lang.Runnable)>,0,<com.facebook.FacebookSdk$$ExternalSyntheticLambda0: void run()>,1.0,1.0,6.0,5.0,2.0,126.0,629.0,1.0,1.0,-1.0,629.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,5.0,2.0,126.0,629.0,1.0,1.0,-1.0,629.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,6.0,3.0,1.0,2185.0,21.0,1.0,1.0,-1.0,21.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,3.0,1.0,2185.0,21.0,1.0,1.0,-1.0,21.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
<com.facebook.internal.Utility: void runOnNonUiThread(java.lang.Runnable)>,0,<com.unity3d.player.UnityPlayer$5: void run()>,1.0,1.0,6.0,5.0,8.0,125.0,629.0,1.0,1.0,-1.0,629.0,48816.0,687720.0,14.088003933136676,372.149726632932,6.0,5.0,8.0,125.0,629.0,1.0,1.0,-1.0,629.0,48816.0,687720.0,14.088003933136676,372.149726632932,0
<bo.app.d5: void <init>(org.json.JSONObject)>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,9.0,1.0,1.0,2185.0,12.0,1.0,1.0,-1.0,12.0,48816.0,687720.0,14.088003933136676,372.149726632932,9.0,1.0,1.0,2185.0,12.0,1.0,1.0,-1.0,12.0,48816.0,687720.0,14.088003933136676,372.149726632932,1
