method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,45.0,1.0,1.0,-1.0,45.0,49518.0,733046.0,14.803626963932308,281.3122123304677,10.0,1.0,1.0,2.0,45.0,1.0,1.0,-1.0,45.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,49518.0,733046.0,14.803626963932308,281.3122123304677,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.impl.builtins.StandardNames$FqNames: void <clinit>()>,0,<kotlin.reflect.jvm.internal.impl.name.ClassId: kotlin.reflect.jvm.internal.impl.name.ClassId topLevel(kotlin.reflect.jvm.internal.impl.name.FqName)>,1.0,1.0,4.0,57.0,5.0,24.0,81.0,1.0,1.0,-1.0,81.0,49518.0,733046.0,14.803626963932308,281.3122123304677,4.0,57.0,5.0,24.0,81.0,1.0,1.0,-1.0,81.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
"<expo.modules.ReactNativeHostWrapper: void <init>(android.app.Application,com.facebook.react.ReactNativeHost)>",0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,2.0,1.0,1.0,3687.0,2.0,1.0,1.0,-1.0,2.0,49518.0,733046.0,14.803626963932308,281.3122123304677,2.0,1.0,1.0,3687.0,2.0,1.0,1.0,-1.0,2.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.reflect.jvm.internal.impl.builtins.StandardNames$FqNames: void <clinit>()>,0,<kotlin.reflect.jvm.internal.impl.builtins.StandardNames$FqNames: kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe reflect(java.lang.String)>,1.0,1.0,4.0,57.0,6.0,1.0,81.0,1.0,1.0,-1.0,81.0,49518.0,733046.0,14.803626963932308,281.3122123304677,4.0,57.0,6.0,1.0,81.0,1.0,1.0,-1.0,81.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.reflect.jvm.internal.impl.builtins.jvm.JavaToKotlinClassMap: void <clinit>()>,0,<kotlin.reflect.jvm.internal.impl.name.ClassId: void <clinit>()>,1.0,1.0,7.0,25.0,0.0,48.0,249.0,1.0,1.0,-1.0,249.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,25.0,0.0,48.0,249.0,1.0,1.0,-1.0,249.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<expo.modules.ExpoModulesPackage$Companion: java.util.List getPackageList()>,0,<expo.modules.ExpoModulesPackage: void <clinit>()>,1.0,1.0,4.0,4.0,3.0,7.0,7.0,1.0,1.0,-1.0,7.0,49518.0,733046.0,14.803626963932308,281.3122123304677,4.0,4.0,3.0,7.0,7.0,1.0,1.0,-1.0,7.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.RuntimeTypeMapper: kotlin.reflect.jvm.internal.impl.name.ClassId mapJvmClassToKotlinClassId(java.lang.Class)>,0,<kotlin.reflect.jvm.internal.impl.builtins.jvm.JavaToKotlinClassMap: void <clinit>()>,1.0,1.0,7.0,1.0,249.0,25.0,22.0,1.0,1.0,-1.0,22.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,1.0,249.0,25.0,22.0,1.0,1.0,-1.0,22.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.KClassImpl$Data$qualifiedName$2: java.lang.String invoke()>,0,<kotlin.reflect.jvm.internal.impl.name.ClassId: kotlin.reflect.jvm.internal.impl.name.FqName asSingleFqName()>,1.0,1.0,4.0,60.0,9.0,22.0,7.0,1.0,1.0,-1.0,7.0,49518.0,733046.0,14.803626963932308,281.3122123304677,4.0,60.0,9.0,22.0,7.0,1.0,1.0,-1.0,7.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.LazyThreadSafetyMode: kotlin.LazyThreadSafetyMode[] $values()>,0,<kotlin.LazyThreadSafetyMode: void <clinit>()>,1.0,1.0,6.0,1.0,2.0,19.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,6.0,1.0,2.0,19.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.impl.name.ClassId: kotlin.reflect.jvm.internal.impl.name.FqName asSingleFqName()>,0,<kotlin.reflect.jvm.internal.impl.name.FqName: boolean isRoot()>,1.0,1.0,5.0,22.0,1.0,22.0,9.0,1.0,1.0,-1.0,9.0,49518.0,733046.0,14.803626963932308,281.3122123304677,5.0,22.0,1.0,22.0,9.0,1.0,1.0,-1.0,9.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.sequences.SequencesKt___SequencesKt: java.lang.Object firstOrNull(kotlin.sequences.Sequence)>,0,<kotlin.sequences.TransformingSequence$iterator$1: boolean hasNext()>,1.0,1.0,4.0,10.0,95.0,1060.0,222.0,1.0,1.0,-1.0,222.0,49518.0,733046.0,14.803626963932308,281.3122123304677,4.0,10.0,95.0,1060.0,222.0,1.0,1.0,-1.0,222.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.impl.builtins.CompanionObjectMapping: void <clinit>()>,0,<kotlin.sequences.TransformingSequence$iterator$1: boolean hasNext()>,1.0,1.0,5.0,5.0,95.0,1060.0,328.0,1.0,1.0,-1.0,328.0,49518.0,733046.0,14.803626963932308,281.3122123304677,5.0,5.0,95.0,1060.0,328.0,1.0,1.0,-1.0,328.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.SafePublicationLazyImpl: void <init>(kotlin.jvm.functions.Function0)>,0,"<kotlin.jvm.internal.Intrinsics: void checkNotNullParameter(java.lang.Object,java.lang.String)>",1.0,1.0,6.0,1.0,1.0,3687.0,3.0,1.0,1.0,-1.0,3.0,49518.0,733046.0,14.803626963932308,281.3122123304677,6.0,1.0,1.0,3687.0,3.0,1.0,1.0,-1.0,3.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.reflect.jvm.internal.impl.builtins.functions.FunctionClassKind$Companion: void <init>(kotlin.jvm.internal.DefaultConstructorMarker)>,0,<kotlin.reflect.jvm.internal.impl.builtins.functions.FunctionClassKind$Companion: void <init>()>,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
"<kotlin.reflect.jvm.internal.impl.builtins.jvm.JavaToKotlinClassMap: kotlin.reflect.jvm.internal.impl.name.ClassId access$classId(kotlin.reflect.jvm.internal.impl.builtins.jvm.JavaToKotlinClassMap,java.lang.Class)>",0,<kotlin.reflect.jvm.internal.impl.builtins.jvm.JavaToKotlinClassMap: kotlin.reflect.jvm.internal.impl.name.ClassId classId(java.lang.Class)>,1.0,1.0,8.0,1.0,13.0,4.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,8.0,1.0,13.0,4.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<com.facebook.react.ReactNativeHost: com.facebook.react.ReactInstanceManager createReactInstanceManager()>,0,<expo.modules.ReactNativeHostWrapper: com.facebook.react.devsupport.interfaces.RedBoxHandler getRedBoxHandler()>,1.0,1.0,3.0,2.0,1.0,1.0,243.0,1.0,1.0,-1.0,243.0,49518.0,733046.0,14.803626963932308,281.3122123304677,3.0,2.0,1.0,1.0,243.0,1.0,1.0,-1.0,243.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
"<androidx.startup.AppInitializer: java.lang.Object doInitialize(java.lang.Class,java.util.Set)>",0,<androidx.tracing.Trace: boolean isEnabled()>,1.0,1.0,3.0,3.0,2.0,1.0,327.0,1.0,1.0,-1.0,327.0,49518.0,733046.0,14.803626963932308,281.3122123304677,3.0,3.0,2.0,1.0,327.0,1.0,1.0,-1.0,327.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.reflect.jvm.internal.impl.descriptors.runtime.structure.ReflectClassUtilKt: void <clinit>()>,0,<kotlin.collections.MapsKt__MapsKt: java.util.Map toMap(java.lang.Iterable)>,1.0,1.0,5.0,36.0,258.0,12.0,334.0,1.0,1.0,-1.0,334.0,49518.0,733046.0,14.803626963932308,281.3122123304677,5.0,36.0,258.0,12.0,334.0,1.0,1.0,-1.0,334.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<expo.modules.ExpoModulesPackage$Companion$packageList$2: void <clinit>()>,0,<expo.modules.ExpoModulesPackage$Companion$packageList$2: void <init>()>,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.reflect.jvm.internal.impl.name.ClassId: kotlin.reflect.jvm.internal.impl.name.FqName asSingleFqName()>,0,<kotlin.reflect.jvm.internal.impl.name.ClassId: void <clinit>()>,1.0,1.0,5.0,22.0,0.0,48.0,9.0,1.0,1.0,-1.0,9.0,49518.0,733046.0,14.803626963932308,281.3122123304677,5.0,22.0,0.0,48.0,9.0,1.0,1.0,-1.0,9.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<expo.modules.ReactNativeHostWrapperBase: boolean getUseDeveloperSupport()>,0,<com.Monaco.Sky.MainApplication$1: boolean getUseDeveloperSupport()>,1.0,1.0,4.0,6.0,0.0,2.0,8.0,1.0,1.0,-1.0,8.0,49518.0,733046.0,14.803626963932308,281.3122123304677,4.0,6.0,0.0,2.0,8.0,1.0,1.0,-1.0,8.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.ReflectProperties$LazyVal: void <init>(kotlin.jvm.functions.Function0)>,0,<kotlin.reflect.jvm.internal.ReflectProperties$Val: void <clinit>()>,1.0,1.0,7.0,1.0,1.0,6.0,3.0,1.0,1.0,-1.0,3.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,1.0,1.0,6.0,3.0,1.0,1.0,-1.0,3.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<com.facebook.react.ReactNativeHost: com.facebook.react.ReactInstanceManager createReactInstanceManager()>,0,<com.facebook.react.ReactNativeHost: java.lang.String getJSBundleFile()>,1.0,1.0,3.0,2.0,0.0,1.0,243.0,1.0,1.0,-1.0,243.0,49518.0,733046.0,14.803626963932308,281.3122123304677,3.0,2.0,0.0,1.0,243.0,1.0,1.0,-1.0,243.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.reflect.jvm.internal.RuntimeTypeMapper: kotlin.reflect.jvm.internal.impl.name.ClassId mapJvmClassToKotlinClassId(java.lang.Class)>,0,<kotlin.reflect.jvm.internal.RuntimeTypeMapper: kotlin.reflect.jvm.internal.impl.builtins.PrimitiveType getPrimitiveType(java.lang.Class)>,1.0,1.0,7.0,1.0,5.0,1.0,22.0,1.0,1.0,-1.0,22.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,1.0,5.0,1.0,22.0,1.0,1.0,-1.0,22.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
"<kotlin.reflect.jvm.internal.pcollections.HashPMap: int keyIndexIn(kotlin.reflect.jvm.internal.pcollections.ConsPStack,java.lang.Object)>",0,<kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe: boolean equals(java.lang.Object)>,1.0,1.0,10.0,1.0,1.0,35.0,591.0,1.0,1.0,-1.0,591.0,49518.0,733046.0,14.803626963932308,281.3122123304677,10.0,1.0,1.0,35.0,591.0,1.0,1.0,-1.0,591.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe: void compute()>,0,<kotlin.reflect.jvm.internal.impl.name.FqName: kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe toUnsafe()>,1.0,1.0,7.0,2.0,2.0,19.0,8.0,1.0,1.0,-1.0,8.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,2.0,2.0,19.0,8.0,1.0,1.0,-1.0,8.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<kotlin.reflect.jvm.internal.impl.builtins.jvm.JavaToKotlinClassMap: void <clinit>()>,0,"<kotlin.reflect.jvm.internal.impl.name.FqNamesUtilKt: kotlin.reflect.jvm.internal.impl.name.FqName tail(kotlin.reflect.jvm.internal.impl.name.FqName,kotlin.reflect.jvm.internal.impl.name.FqName)>",1.0,1.0,7.0,25.0,10.0,2.0,249.0,1.0,1.0,-1.0,249.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,25.0,10.0,2.0,249.0,1.0,1.0,-1.0,249.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
"<kotlin.reflect.jvm.internal.pcollections.HashPMap: kotlin.reflect.jvm.internal.pcollections.HashPMap plus(java.lang.Object,java.lang.Object)>",0,"<kotlin.reflect.jvm.internal.pcollections.HashPMap: void <init>(kotlin.reflect.jvm.internal.pcollections.IntTreePMap,int)>",1.0,1.0,9.0,1.0,1.0,2.0,590.0,1.0,1.0,-1.0,590.0,49518.0,733046.0,14.803626963932308,281.3122123304677,9.0,1.0,1.0,2.0,590.0,1.0,1.0,-1.0,590.0,49518.0,733046.0,14.803626963932308,281.3122123304677,1
<kotlin.reflect.jvm.internal.impl.resolve.jvm.JvmPrimitiveType: kotlin.reflect.jvm.internal.impl.name.FqName getWrapperFqName()>,0,<kotlin.reflect.jvm.internal.impl.resolve.jvm.JvmPrimitiveType: void <clinit>()>,1.0,1.0,7.0,5.0,47.0,23.0,2.0,1.0,1.0,-1.0,2.0,49518.0,733046.0,14.803626963932308,281.3122123304677,7.0,5.0,47.0,23.0,2.0,1.0,1.0,-1.0,2.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
<com.facebook.react.ReactNativeHost: com.facebook.react.ReactInstanceManager createReactInstanceManager()>,0,<com.facebook.react.bridge.ReactMarkerConstants: void <clinit>()>,1.0,1.0,3.0,2.0,1.0,46.0,243.0,1.0,1.0,-1.0,243.0,49518.0,733046.0,14.803626963932308,281.3122123304677,3.0,2.0,1.0,46.0,243.0,1.0,1.0,-1.0,243.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
"<com.facebook.soloader.SoLoader: void AddBackupSoSource(android.content.Context,java.util.ArrayList,int)>",0,<com.facebook.soloader.SoLoader: void <clinit>()>,1.0,1.0,5.0,1.0,11.0,42.0,22.0,1.0,1.0,-1.0,22.0,49518.0,733046.0,14.803626963932308,281.3122123304677,5.0,1.0,11.0,42.0,22.0,1.0,1.0,-1.0,22.0,49518.0,733046.0,14.803626963932308,281.3122123304677,0
