method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.recyclerview.widget.LinearLayoutManager: android.view.View findReferenceChild(androidx.recyclerview.widget.RecyclerView$Recycler,androidx.recyclerview.widget.RecyclerView$State,int,int,int)>",0,<androidx.recyclerview.widget.RecyclerView$LayoutParams: boolean isItemRemoved()>,1.0,1.0,13.0,2.0,1.0,11.0,13.0,1.0,1.0,-1.0,13.0,29145.0,174501.0,5.987339166237777,112.74807021163204,13.0,2.0,1.0,11.0,13.0,1.0,1.0,-1.0,13.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
"<androidx.constraintlayout.widget.ConstraintLayout: void setSelfDimensionBehaviour(androidx.constraintlayout.core.widgets.ConstraintWidgetContainer,int,int,int,int)>",0,<androidx.constraintlayout.core.widgets.ConstraintWidget: void setMaxHeight(int)>,1.0,1.0,11.0,1.0,0.0,1.0,17.0,1.0,1.0,-1.0,17.0,29145.0,174501.0,5.987339166237777,112.74807021163204,11.0,1.0,0.0,1.0,17.0,1.0,1.0,-1.0,17.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
<com.nickname.'-$$Lambda$InvisibaleNameGenerator$z4Wto_bRbpIrC5pt2lIWq2xmsXo': void onClick(android.view.View)>,0,<com.nickname.InvisibaleNameGenerator: void lambda$onCreate$0$InvisibaleNameGenerator(android.view.View)>,1.0,1.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,29145.0,174501.0,5.987339166237777,112.74807021163204,8.0,7.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,10.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,29145.0,174501.0,5.987339166237777,112.74807021163204,10.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
"<androidx.constraintlayout.widget.ConstraintLayout: void applyConstraintsFromLayoutParams(boolean,android.view.View,androidx.constraintlayout.core.widgets.ConstraintWidget,androidx.constraintlayout.widget.ConstraintLayout$LayoutParams,android.util.SparseArray)>",0,<androidx.constraintlayout.core.widgets.ConstraintWidget: void setWrapBehaviorInParent(int)>,1.0,1.0,10.0,1.0,0.0,1.0,36.0,1.0,1.0,-1.0,36.0,29145.0,174501.0,5.987339166237777,112.74807021163204,10.0,1.0,0.0,1.0,36.0,1.0,1.0,-1.0,36.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentSaveInstanceState(androidx.fragment.app.Fragment,android.os.Bundle,boolean)>",0,<androidx.fragment.app.FragmentManager: androidx.fragment.app.Fragment getParent()>,1.0,1.0,10.0,2.0,0.0,15.0,24.0,1.0,1.0,-1.0,24.0,29145.0,174501.0,5.987339166237777,112.74807021163204,10.0,2.0,0.0,15.0,24.0,1.0,1.0,-1.0,24.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
<androidx.fragment.app.FragmentManager: androidx.fragment.app.FragmentStateManager createOrGetFragmentStateManager(androidx.fragment.app.Fragment)>,0,<androidx.fragment.app.FragmentStore: androidx.fragment.app.FragmentStateManager getFragmentStateManager(java.lang.String)>,1.0,1.0,7.0,4.0,2.0,4.0,6.0,1.0,1.0,-1.0,6.0,29145.0,174501.0,5.987339166237777,112.74807021163204,7.0,4.0,2.0,4.0,6.0,1.0,1.0,-1.0,6.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,7.0,26.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,29145.0,174501.0,5.987339166237777,112.74807021163204,7.0,26.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,29145.0,174501.0,5.987339166237777,112.74807021163204,1
"<androidx.fragment.app.FragmentLifecycleCallbacksDispatcher: void dispatchOnFragmentStarted(androidx.fragment.app.Fragment,boolean)>",0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,1.0,1.0,9.0,2.0,1.0,449.0,24.0,1.0,1.0,-1.0,24.0,29145.0,174501.0,5.987339166237777,112.74807021163204,9.0,2.0,1.0,449.0,24.0,1.0,1.0,-1.0,24.0,29145.0,174501.0,5.987339166237777,112.74807021163204,0
"<androidx.recyclerview.widget.RecyclerView$Recycler: androidx.recyclerview.widget.RecyclerView$ViewHolder tryGetViewHolderForPositionByDeadline(int,boolean,long)>",0,<androidx.recyclerview.widget.RecyclerView$ViewHolder: void unScrap()>,1.0,1.0,9.0,2.0,1.0,3.0,67.0,1.0,1.0,-1.0,67.0,29145.0,174501.0,5.987339166237777,112.74807021163204,9.0,2.0,1.0,3.0,67.0,1.0,1.0,-1.0,67.0,29145.0,174501.0,5.987339166237777,112.74807021163204,0
