method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<a.r.p: void g(a.r.r)>,0,<a.r.p: void g(a.r.r)>,1,1,11,3,17,3,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,11,3,17,3,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.b.i.j0: boolean d()>,0,<a.b.i.w: a.b.h.i.p b()>,1,1,8,1,0,2,9,1,1,-1,9,8411.0,42241.0,5.022113898466294,60.02691697639734,8,1,0,2,9,1,1,-1,9,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.b.c.m: boolean A(boolean)>,0,"<a.b.c.m: android.content.res.Configuration F(android.content.Context,int,android.content.res.Configuration)>",1,1,5,3,11,1,71,1,1,-1,71,8411.0,42241.0,5.022113898466294,60.02691697639734,5,3,11,1,71,1,1,-1,71,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.b.h.i.g: void q(boolean)>,0,<a.b.h.i.g: void z()>,1,1,8,10,1,7,22,1,1,-1,22,8411.0,42241.0,5.022113898466294,60.02691697639734,8,10,1,7,22,1,1,-1,22,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.m.h: void h()>,0,"<a.m.h$a: void a(a.m.g,a.m.d$a)>",1,1,4,2,23,2,26,1,1,-1,26,8411.0,42241.0,5.022113898466294,60.02691697639734,4,2,23,2,26,1,1,-1,26,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.b.c.m: android.content.res.Configuration F(android.content.Context,int,android.content.res.Configuration)>",0,<a.b.c.j: android.content.res.Resources getResources()>,1,1,6,1,1,81,11,1,1,-1,11,8411.0,42241.0,5.022113898466294,60.02691697639734,6,1,1,81,11,1,1,-1,11,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.b.h.i.g: void setQwertyMode(boolean)>,0,<a.b.h.i.g: void q(boolean)>,1,1,8,2,22,10,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,8,2,22,10,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.k.b.c0: void z()>,0,<a.c.a.b.b$d: java.lang.Object next()>,1,1,5,2,0,127,13,1,1,-1,13,8411.0,42241.0,5.022113898466294,60.02691697639734,5,2,0,127,13,1,1,-1,13,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.b.i.b0: void <init>(android.content.Context,android.util.AttributeSet,int)>",0,"<a.b.i.u0: void a(android.view.View,android.content.Context)>",1,1,8,1,10,4,12,1,1,-1,12,8411.0,42241.0,5.022113898466294,60.02691697639734,8,1,10,4,12,1,1,-1,12,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.k.b.p: void onStop()>,0,<a.m.h: void d(a.m.d$a)>,1,1,3,1,3,13,7,1,1,-1,7,8411.0,42241.0,5.022113898466294,60.02691697639734,3,1,3,13,7,1,1,-1,7,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.b.c.j: android.view.View findViewById(int)>,0,<a.b.c.j: a.b.c.l q()>,1,1,3,33,3,16,2,1,1,-1,2,8411.0,42241.0,5.022113898466294,60.02691697639734,3,33,3,16,2,1,1,-1,2,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.l.a.a.a: void <init>()>,0,<a.l.a.a.a: void <clinit>()>,1,1,8,2,0,3,2,1,1,-1,2,8411.0,42241.0,5.022113898466294,60.02691697639734,8,2,0,3,2,1,1,-1,2,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<androidx.appcompat.widget.SwitchCompat: int getThumbOffset()>,0,<androidx.appcompat.widget.SwitchCompat: int getThumbScrollRange()>,1,1,7,1,15,2,3,1,1,-1,3,8411.0,42241.0,5.022113898466294,60.02691697639734,7,1,15,2,3,1,1,-1,3,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.b.c.m: void S(a.b.c.m$j,android.view.KeyEvent)>",0,<a.b.h.i.e$a: void <init>(a.b.h.i.e)>,1,1,7,1,2,2,70,1,1,-1,70,8411.0,42241.0,5.022113898466294,60.02691697639734,7,1,2,2,70,1,1,-1,70,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.k.b.p: void onStart()>,0,<a.k.b.c0: boolean C(boolean)>,1,1,3,1,13,9,6,1,1,-1,6,8411.0,42241.0,5.022113898466294,60.02691697639734,3,1,13,9,6,1,1,-1,6,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<hearingaid.app.FreemiumActivity: void A()>,0,<a.c.a.b.b$e: boolean hasNext()>,1,1,3,2,0,126,34,1,1,-1,34,8411.0,42241.0,5.022113898466294,60.02691697639734,3,2,0,126,34,1,1,-1,34,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.m.h: void h()>,0,<a.c.a.b.b$c: java.lang.Object getKey()>,1,1,4,2,0,10,26,1,1,-1,26,8411.0,42241.0,5.022113898466294,60.02691697639734,4,2,0,10,26,1,1,-1,26,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<hearingaid.app.FreemiumActivity$c: android.view.View getView(int,android.view.View,android.view.ViewGroup)>",0,"<a.b.i.h: void setTextAppearance(android.content.Context,int)>",1,1,8,2,2,18,24,1,1,-1,24,8411.0,42241.0,5.022113898466294,60.02691697639734,8,2,2,18,24,1,1,-1,24,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.b.i.b0: void <init>(android.content.Context,android.util.AttributeSet,int)>",0,<a.b.i.z: void b()>,1,1,8,1,4,9,12,1,1,-1,12,8411.0,42241.0,5.022113898466294,60.02691697639734,8,1,4,9,12,1,1,-1,12,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<b.b.a.b.y.m$b: void <init>(b.b.a.b.y.m$d,float,float)>",0,<b.b.a.b.y.m$f: void <init>()>,1,1,14,1,1,3,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,14,1,1,3,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<b.b.a.b.h.f: void k(boolean)>,0,<a.b.h.i.g: int size()>,1,1,9,1,1,13,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,9,1,1,13,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<b.b.a.b.t.k: void d(a.r.r)>,0,<b.b.a.b.t.k: void H(a.r.r)>,1,1,11,3,12,2,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,11,3,12,2,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.r.a0: void <clinit>()>,0,<a.r.e0: void <init>()>,1,1,11,11,1,2,9,1,1,-1,9,8411.0,42241.0,5.022113898466294,60.02691697639734,11,11,1,2,9,1,1,-1,9,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.b.i.e: void d(android.util.AttributeSet,int)>",0,<a.b.i.h0$a: boolean setState(int[])>,1,1,9,3,6,18,96,1,1,-1,96,8411.0,42241.0,5.022113898466294,60.02691697639734,9,3,6,18,96,1,1,-1,96,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.b.i.m: void c(android.util.AttributeSet,int)>",0,<a.b.i.g0: void b(android.graphics.drawable.Drawable)>,1,1,10,2,15,4,60,1,1,-1,60,8411.0,42241.0,5.022113898466294,60.02691697639734,10,2,15,4,60,1,1,-1,60,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.r.f0: void <init>()>,0,<a.r.e0: void <init>()>,1,1,12,1,1,2,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,12,1,1,2,1,1,1,-1,1,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<b.b.a.b.c.a: void <clinit>()>,0,<a.l.a.a.a: void <init>()>,1,1,7,14,2,2,8,1,1,-1,8,8411.0,42241.0,5.022113898466294,60.02691697639734,7,14,2,2,8,1,1,-1,8,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.k.b.c0: boolean n(android.view.Menu,android.view.MenuInflater)>",0,<a.c.a.b.b$e: java.lang.Object next()>,1,1,9,2,2,127,22,1,1,-1,22,8411.0,42241.0,5.022113898466294,60.02691697639734,9,2,2,127,22,1,1,-1,22,8411.0,42241.0,5.022113898466294,60.02691697639734,0
"<a.b.i.x$d: void f(int,int)>",0,"<a.b.i.x$d$c: void <init>(a.b.i.x$d,android.view.ViewTreeObserver$OnGlobalLayoutListener)>",1,1,8,1,1,1,18,1,1,-1,18,8411.0,42241.0,5.022113898466294,60.02691697639734,8,1,1,1,18,1,1,-1,18,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<a.r.p: void g(a.r.r)>,0,<a.r.c: void g(a.r.r)>,1,1,11,3,1,3,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,11,3,1,3,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<b.b.a.b.y.j$b: void <init>(b.b.a.b.y.j)>,0,<b.b.a.b.y.f: void <init>()>,1,1,9,2,1,3,4,1,1,-1,4,8411.0,42241.0,5.022113898466294,60.02691697639734,9,2,1,3,4,1,1,-1,4,8411.0,42241.0,5.022113898466294,60.02691697639734,0
<b.b.a.b.h.f: void k(boolean)>,0,"<a.r.n: void a(android.view.ViewGroup,a.r.j)>",1,1,9,1,32,2,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,9,1,32,2,17,1,1,-1,17,8411.0,42241.0,5.022113898466294,60.02691697639734,0
