method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<q2.a: void n()>,0,<io.flutter.embedding.engine.FlutterJNI: void setPlatformMessageHandler(q2.f)>,1.0,1.0,7.0,1.0,1.0,2.0,3.0,1.0,1.0,-1.0,3.0,17969.0,173260.0,9.642161500361734,205.26293431836547,7.0,1.0,1.0,2.0,3.0,1.0,1.0,-1.0,3.0,17969.0,173260.0,9.642161500361734,205.26293431836547,1
<androidx.lifecycle.h: void <init>(androidx.lifecycle.g)>,0,"<androidx.lifecycle.h: void <init>(androidx.lifecycle.g,boolean)>",1.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,17969.0,173260.0,9.642161500361734,205.26293431836547,4.0,3.0,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,17969.0,173260.0,9.642161500361734,205.26293431836547,1
<io.flutter.embedding.android.e: void p(android.content.Context)>,0,"<p2.b: void f(java.lang.String,java.lang.String)>",1.0,1.0,3.0,1.0,0.0,68.0,11.0,1.0,1.0,-1.0,11.0,17969.0,173260.0,9.642161500361734,205.26293431836547,3.0,1.0,0.0,68.0,11.0,1.0,1.0,-1.0,11.0,17969.0,173260.0,9.642161500361734,205.26293431836547,0
<c3.f: void <clinit>()>,0,<c3.f: void <init>()>,1.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,17969.0,173260.0,9.642161500361734,205.26293431836547,6.0,9.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,17969.0,173260.0,9.642161500361734,205.26293431836547,1
<s2.a: s2.b e(android.content.Context)>,0,<s2.a: void <clinit>()>,1.0,1.0,9.0,1.0,5.0,4.0,6.0,1.0,1.0,-1.0,6.0,17969.0,173260.0,9.642161500361734,205.26293431836547,9.0,1.0,5.0,4.0,6.0,1.0,1.0,-1.0,6.0,17969.0,173260.0,9.642161500361734,205.26293431836547,0
<i1.o: void <clinit>()>,0,<i1.j: void <clinit>()>,1.0,1.0,7.0,3.0,3.0,11.0,3.0,1.0,1.0,-1.0,3.0,17969.0,173260.0,9.642161500361734,205.26293431836547,7.0,3.0,3.0,11.0,3.0,1.0,1.0,-1.0,3.0,17969.0,173260.0,9.642161500361734,205.26293431836547,0
<c3.k: void e(c3.k$c)>,0,"<q2.c: void f(java.lang.String,c3.c$a)>",1.0,1.0,6.0,17.0,1.0,6.0,7.0,1.0,1.0,-1.0,7.0,17969.0,173260.0,9.642161500361734,205.26293431836547,6.0,17.0,1.0,6.0,7.0,1.0,1.0,-1.0,7.0,17969.0,173260.0,9.642161500361734,205.26293431836547,0
<s2.a: s2.b e(android.content.Context)>,0,<s2.a: android.content.pm.ApplicationInfo a(android.content.Context)>,1.0,1.0,9.0,1.0,3.0,1.0,6.0,1.0,1.0,-1.0,6.0,17969.0,173260.0,9.642161500361734,205.26293431836547,9.0,1.0,3.0,1.0,6.0,1.0,1.0,-1.0,6.0,17969.0,173260.0,9.642161500361734,205.26293431836547,1
<i1.g: java.lang.Object[] toArray(java.lang.Object[])>,0,<i1.o: int size()>,1.0,1.0,5.0,5.0,0.0,149.0,24.0,1.0,1.0,-1.0,24.0,17969.0,173260.0,9.642161500361734,205.26293431836547,5.0,5.0,0.0,149.0,24.0,1.0,1.0,-1.0,24.0,17969.0,173260.0,9.642161500361734,205.26293431836547,0
"<b3.l: void <init>(q2.a,boolean)>",0,"<b3.l: void <init>(c3.k,boolean)>",1.0,1.0,7.0,1.0,3.0,1.0,3.0,1.0,1.0,-1.0,3.0,17969.0,173260.0,9.642161500361734,205.26293431836547,7.0,1.0,3.0,1.0,3.0,1.0,1.0,-1.0,3.0,17969.0,173260.0,9.642161500361734,205.26293431836547,1
