method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1,1,8,1,26,2,9,1,1,-1,9,47454.0,552572.0,11.644371391242045,267.24742838942257,8,1,26,2,9,1,1,-1,9,47454.0,552572.0,11.644371391242045,267.24742838942257,0
"<com.google.android.gms.internal.measurement.zzee: com.google.android.gms.internal.measurement.zzcc zzf(android.content.Context,boolean)>",0,<com.google.android.gms.dynamite.DynamiteModule: android.os.IBinder instantiate(java.lang.String)>,1,1,7,1,9,2,5,1,1,-1,5,47454.0,552572.0,11.644371391242045,267.24742838942257,7,1,9,2,5,1,1,-1,5,47454.0,552572.0,11.644371391242045,267.24742838942257,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1,1,4,22,1,22,27,1,1,-1,27,47454.0,552572.0,11.644371391242045,267.24742838942257,4,22,1,22,27,1,1,-1,27,47454.0,552572.0,11.644371391242045,267.24742838942257,0
<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,0,<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,1,1,4,22,27,22,27,1,1,-1,27,47454.0,552572.0,11.644371391242045,267.24742838942257,4,22,27,22,27,1,1,-1,27,47454.0,552572.0,11.644371391242045,267.24742838942257,0
<com.facebook.soloader.UnpackingSoSource: void prepare(int)>,0,<com.facebook.soloader.SysUtil: void mkdirOrThrow(java.io.File)>,1,1,6,4,7,1,14,1,1,-1,14,47454.0,552572.0,11.644371391242045,267.24742838942257,6,4,7,1,14,1,1,-1,14,47454.0,552572.0,11.644371391242045,267.24742838942257,0
"<com.google.android.gms.dynamite.DynamiteModule: com.google.android.gms.dynamite.DynamiteModule zzb(android.content.Context,java.lang.String,int)>",0,<com.google.android.gms.dynamite.DynamiteModule: void <init>(android.content.Context)>,1,1,10,1,2,3,22,1,1,-1,22,47454.0,552572.0,11.644371391242045,267.24742838942257,10,1,2,3,22,1,1,-1,22,47454.0,552572.0,11.644371391242045,267.24742838942257,0
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1,1,10,1,1,2,42,1,1,-1,42,47454.0,552572.0,11.644371391242045,267.24742838942257,10,1,1,2,42,1,1,-1,42,47454.0,552572.0,11.644371391242045,267.24742838942257,0
<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore get()>,0,<com.google.android.datatransport.runtime.scheduling.SchedulingModule_WorkSchedulerFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkScheduler get()>,1,1,4,22,27,22,27,1,1,-1,27,47454.0,552572.0,11.644371391242045,267.24742838942257,4,22,27,22,27,1,1,-1,27,47454.0,552572.0,11.644371391242045,267.24742838942257,0
"<com.facebook.react.ReactInstanceManager: void <init>(android.content.Context,android.app.Activity,com.facebook.react.modules.core.DefaultHardwareBackBtnHandler,com.facebook.react.bridge.JavaScriptExecutorFactory,com.facebook.react.bridge.JSBundleLoader,java.lang.String,java.util.List,boolean,com.facebook.react.bridge.NotThreadSafeBridgeIdleDebugListener,com.facebook.react.common.LifecycleState,com.facebook.react.uimanager.UIImplementationProvider,com.facebook.react.bridge.NativeModuleCallExceptionHandler,com.facebook.react.devsupport.RedBoxHandler,boolean,com.facebook.react.devsupport.interfaces.DevBundleDownloadListener,int,int,com.facebook.react.bridge.JSIModulePackage,java.util.Map,com.facebook.react.ReactPackageTurboModuleManagerDelegate$Builder)>",0,<com.facebook.react.uimanager.DisplayMetricsHolder: void initDisplayMetricsIfNotInitialized(android.content.Context)>,1,1,5,1,2,4,30,1,1,-1,30,47454.0,552572.0,11.644371391242045,267.24742838942257,5,1,2,4,30,1,1,-1,30,47454.0,552572.0,11.644371391242045,267.24742838942257,0
<com.google.android.datatransport.runtime.ExecutionModule_ExecutorFactory$InstanceHolder: void <clinit>()>,0,<com.google.android.datatransport.runtime.ExecutionModule_ExecutorFactory: void <init>()>,1,1,17,2,1,1,1,1,1,-1,1,47454.0,552572.0,11.644371391242045,267.24742838942257,17,2,1,1,1,1,1,-1,1,47454.0,552572.0,11.644371391242045,267.24742838942257,0
