method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,5.0,2.0,3.0,2.0,374.0,1.0,1.0,-1.0,374.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,5.0,2.0,3.0,2.0,374.0,1.0,1.0,-1.0,374.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,1
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,9.0,5.0,1.0,1.0,-1.0,5.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,2.0,1.0,4.0,9.0,5.0,1.0,1.0,-1.0,5.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,1
<com.getcapacitor.Bridge$Builder: com.getcapacitor.Bridge create()>,0,<org.apache.cordova.CordovaPreferences: void setPreferencesBundle(android.os.Bundle)>,1.0,1.0,5.0,2.0,0.0,1.0,25.0,1.0,1.0,-1.0,25.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,5.0,2.0,0.0,1.0,25.0,1.0,1.0,-1.0,25.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,8.0,1.0,17.0,2.0,19.0,1.0,1.0,-1.0,19.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,1
<com.capacitorjs.plugins.keyboard.KeyboardPlugin: void load()>,0,<com.capacitorjs.plugins.keyboard.KeyboardPlugin$$ExternalSyntheticLambda3: void <init>(com.capacitorjs.plugins.keyboard.KeyboardPlugin)>,1.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,8.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,1
<androidx.fragment.app.FragmentActivity: void init()>,0,<androidx.fragment.app.FragmentActivity$$ExternalSyntheticLambda1: void <init>(androidx.fragment.app.FragmentActivity)>,1.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,6.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",0,<androidx.core.content.ContextCompat: void <clinit>()>,1.0,1.0,7.0,2.0,1.0,15.0,8.0,1.0,1.0,-1.0,8.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,7.0,2.0,1.0,15.0,8.0,1.0,1.0,-1.0,8.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,0
<androidx.fragment.app.FragmentActivity: void onPause()>,0,<androidx.lifecycle.Lifecycle$Event: void <clinit>()>,1.0,1.0,3.0,1.0,1.0,44.0,4.0,1.0,1.0,-1.0,4.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,3.0,1.0,1.0,44.0,4.0,1.0,1.0,-1.0,4.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,0
<com.getcapacitor.Bridge: void onNewIntent(android.content.Intent)>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,1.0,1.0,6.0,1.0,1.0,204.0,165.0,1.0,1.0,-1.0,165.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,6.0,1.0,1.0,204.0,165.0,1.0,1.0,-1.0,165.0,11439.0,89893.0,7.8584666491826205,141.26602738811698,0
