method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getPrefsWithGeneratedIdMultiProcessSafe()>,0,<com.google.firebase.installations.local.PersistedInstallation: com.google.firebase.installations.local.PersistedInstallationEntry insertOrUpdatePersistedInstallationEntry(com.google.firebase.installations.local.PersistedInstallationEntry)>,1.0,1.0,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,33209.0,363643.0,10.950133999819323,233.2097606718677,6.0,1.0,30.0,2.0,9.0,1.0,1.0,-1.0,9.0,33209.0,363643.0,10.950133999819323,233.2097606718677,1
"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getObject(org.json.JSONObject,java.lang.String)>",0,"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getDeepestObject(org.json.JSONObject,java.lang.String)>",1.0,1.0,9.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,33209.0,363643.0,10.950133999819323,233.2097606718677,9.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,33209.0,363643.0,10.950133999819323,233.2097606718677,1
<androidx.webkit.internal.WebViewGlueCommunicator: androidx.webkit.internal.WebViewProviderFactory createGlueProviderFactory()>,0,"<org.chromium.support_lib_boundary.util.BoundaryInterfaceReflectionUtil: java.lang.Object castToSuppLibClass(java.lang.Class,java.lang.reflect.InvocationHandler)>",1.0,1.0,11.0,1.0,3.0,2.0,8.0,1.0,1.0,-1.0,8.0,33209.0,363643.0,10.950133999819323,233.2097606718677,11.0,1.0,3.0,2.0,8.0,1.0,1.0,-1.0,8.0,33209.0,363643.0,10.950133999819323,233.2097606718677,1
"<com.google.android.gms.internal.measurement.zzee: com.google.android.gms.internal.measurement.zzcc zzf(android.content.Context,boolean)>",0,<com.google.android.gms.dynamite.DynamiteModule: android.os.IBinder instantiate(java.lang.String)>,1.0,1.0,5.0,1.0,9.0,2.0,5.0,1.0,1.0,-1.0,5.0,33209.0,363643.0,10.950133999819323,233.2097606718677,5.0,1.0,9.0,2.0,5.0,1.0,1.0,-1.0,5.0,33209.0,363643.0,10.950133999819323,233.2097606718677,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,0,<com.google.android.datatransport.runtime.time.TimeModule_EventClockFactory: com.google.android.datatransport.runtime.time.Clock get()>,1.0,1.0,9.0,18.0,1.0,18.0,26.0,1.0,1.0,-1.0,26.0,33209.0,363643.0,10.950133999819323,233.2097606718677,9.0,18.0,1.0,18.0,26.0,1.0,1.0,-1.0,26.0,33209.0,363643.0,10.950133999819323,233.2097606718677,0
<com.google.firebase.auth.internal.zzbj: void execute(java.lang.Runnable)>,0,<com.capacitorjs.plugins.statusbar.StatusBarPlugin$$ExternalSyntheticLambda3: void run()>,1.0,1.0,4.0,31.0,1.0,94.0,392.0,1.0,1.0,-1.0,392.0,33209.0,363643.0,10.950133999819323,233.2097606718677,4.0,31.0,1.0,94.0,392.0,1.0,1.0,-1.0,392.0,33209.0,363643.0,10.950133999819323,233.2097606718677,0
"<androidx.webkit.internal.WebViewProviderAdapter: void addWebMessageListener(java.lang.String,java.lang.String[],androidx.webkit.WebViewCompat$WebMessageListener)>",0,<androidx.webkit.internal.WebMessageListenerAdapter: void <init>(androidx.webkit.WebViewCompat$WebMessageListener)>,1.0,1.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,33209.0,363643.0,10.950133999819323,233.2097606718677,9.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,33209.0,363643.0,10.950133999819323,233.2097606718677,1
<androidx.core.view.WindowInsetsCompat$BuilderImpl29: androidx.core.view.WindowInsetsCompat build()>,0,<androidx.core.view.WindowInsetsCompat$BuilderImpl: void applyInsetTypes()>,1.0,1.0,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,33209.0,363643.0,10.950133999819323,233.2097606718677,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,33209.0,363643.0,10.950133999819323,233.2097606718677,1
<org.apache.cordova.PluginManager: org.apache.cordova.CordovaPlugin getPlugin(java.lang.String)>,0,<com.getcapacitor.cordova.MockCordovaWebViewImpl: org.apache.cordova.CordovaPreferences getPreferences()>,1.0,1.0,6.0,5.0,0.0,3.0,47.0,1.0,1.0,-1.0,47.0,33209.0,363643.0,10.950133999819323,233.2097606718677,6.0,5.0,0.0,3.0,47.0,1.0,1.0,-1.0,47.0,33209.0,363643.0,10.950133999819323,233.2097606718677,0
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,33209.0,363643.0,10.950133999819323,233.2097606718677,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,33209.0,363643.0,10.950133999819323,233.2097606718677,1
