method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<androidx.recyclerview.widget.RecyclerView: void recoverFocusFromState()>,0,<androidx.recyclerview.widget.RecyclerView: android.view.View findNextViewToFocus()>,1.0,1.0,7.0,1.0,4.0,1.0,19.0,1.0,1.0,-1.0,19.0,14210.0,81729.0,5.751513019000703,78.9551933830097,7.0,1.0,4.0,1.0,19.0,1.0,1.0,-1.0,19.0,14210.0,81729.0,5.751513019000703,78.9551933830097,1
"<h0.t: void H(android.view.View,android.graphics.drawable.Drawable)>",0,<androidx.appcompat.widget.z: void setBackgroundDrawable(android.graphics.drawable.Drawable)>,1.0,1.0,5.0,11.0,2.0,1.0,21.0,1.0,1.0,-1.0,21.0,14210.0,81729.0,5.751513019000703,78.9551933830097,5.0,11.0,2.0,1.0,21.0,1.0,1.0,-1.0,21.0,14210.0,81729.0,5.751513019000703,78.9551933830097,0
"<androidx.recyclerview.widget.RecyclerView: void offsetPositionRecordsForInsert(int,int)>",0,<androidx.recyclerview.widget.RecyclerView: void <clinit>()>,1.0,1.0,7.0,2.0,4.0,60.0,10.0,1.0,1.0,-1.0,10.0,14210.0,81729.0,5.751513019000703,78.9551933830097,7.0,2.0,4.0,60.0,10.0,1.0,1.0,-1.0,10.0,14210.0,81729.0,5.751513019000703,78.9551933830097,0
<androidx.fragment.app.d0: void k()>,0,<androidx.fragment.app.d0: void i()>,1.0,1.0,6.0,6.0,10.0,1.0,30.0,1.0,1.0,-1.0,30.0,14210.0,81729.0,5.751513019000703,78.9551933830097,6.0,6.0,10.0,1.0,30.0,1.0,1.0,-1.0,30.0,14210.0,81729.0,5.751513019000703,78.9551933830097,1
"<androidx.activity.ComponentActivity$4: void a(androidx.lifecycle.h,androidx.lifecycle.e$b)>",0,<androidx.lifecycle.t: void a()>,1.0,1.0,7.0,2.0,144.0,2.0,4.0,1.0,1.0,-1.0,4.0,14210.0,81729.0,5.751513019000703,78.9551933830097,7.0,2.0,144.0,2.0,4.0,1.0,1.0,-1.0,4.0,14210.0,81729.0,5.751513019000703,78.9551933830097,0
"<androidx.appcompat.app.i: void <init>(android.content.Context,android.view.Window,d.f,java.lang.Object)>",0,"<o.h: java.lang.Object getOrDefault(java.lang.Object,java.lang.Object)>",1.0,1.0,2.0,9.0,1.0,31.0,16.0,1.0,1.0,-1.0,16.0,14210.0,81729.0,5.751513019000703,78.9551933830097,2.0,9.0,1.0,31.0,16.0,1.0,1.0,-1.0,16.0,14210.0,81729.0,5.751513019000703,78.9551933830097,1
"<androidx.recyclerview.widget.LinearLayoutManager: void V(androidx.recyclerview.widget.RecyclerView$v,androidx.recyclerview.widget.RecyclerView$a0)>",0,<androidx.recyclerview.widget.RecyclerView$p: boolean c()>,1.0,1.0,7.0,3.0,1.0,10.0,65.0,1.0,1.0,-1.0,65.0,14210.0,81729.0,5.751513019000703,78.9551933830097,7.0,3.0,1.0,10.0,65.0,1.0,1.0,-1.0,65.0,14210.0,81729.0,5.751513019000703,78.9551933830097,1
"<androidx.recyclerview.widget.LinearLayoutManager: void W0(int,int,boolean,androidx.recyclerview.widget.RecyclerView$a0)>",0,<androidx.recyclerview.widget.LinearLayoutManager: android.view.View M0()>,1.0,1.0,7.0,2.0,2.0,2.0,20.0,1.0,1.0,-1.0,20.0,14210.0,81729.0,5.751513019000703,78.9551933830097,7.0,2.0,2.0,2.0,20.0,1.0,1.0,-1.0,20.0,14210.0,81729.0,5.751513019000703,78.9551933830097,1
<org.acra.file.Directory$d: void <init>()>,0,"<org.acra.file.Directory: void <init>(java.lang.String,int,kotlin.jvm.internal.e)>",1.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,1.0,-1.0,1.0,14210.0,81729.0,5.751513019000703,78.9551933830097,5.0,1.0,1.0,8.0,1.0,1.0,1.0,-1.0,1.0,14210.0,81729.0,5.751513019000703,78.9551933830097,1
<androidx.appcompat.widget.k: void setBackgroundDrawable(android.graphics.drawable.Drawable)>,0,<androidx.appcompat.widget.e: void e()>,1.0,1.0,6.0,1.0,2.0,11.0,2.0,1.0,1.0,-1.0,2.0,14210.0,81729.0,5.751513019000703,78.9551933830097,6.0,1.0,2.0,11.0,2.0,1.0,1.0,-1.0,2.0,14210.0,81729.0,5.751513019000703,78.9551933830097,0
