method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.unity3d.player.UnityPlayer$10: void <init>(com.unity3d.player.UnityPlayer,boolean,java.lang.String,int)>",0,"<com.unity3d.player.UnityPlayer$f: void <init>(com.unity3d.player.UnityPlayer,byte)>",1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,623.0,1525.0,2.447833065810594,14.63934426229508,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
"<com.unity3d.player.UnityPlayer: void <init>(android.content.Context,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,"<com.unity3d.player.j: void <init>(android.content.Context,int)>",1.0,1.0,3.0,2.0,6.0,1.0,56.0,1.0,1.0,1.0,56.0,623.0,1525.0,2.447833065810594,14.63934426229508,3.0,2.0,6.0,1.0,56.0,1.0,1.0,1.0,56.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
<com.unity3d.player.UnityPlayerActivity: void onResume()>,0,<com.unity3d.player.MultiWindowSupport: boolean getAllowResizableWindow(android.app.Activity)>,1.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,623.0,1525.0,2.447833065810594,14.63934426229508,2.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
<com.unity3d.player.AudioVolumeHandler: void <init>(android.content.Context)>,0,<com.unity3d.player.b: void a(com.unity3d.player.b$b)>,1.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,623.0,1525.0,2.447833065810594,14.63934426229508,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
<com.unity3d.player.UnityPlayerActivity: void onStart()>,0,<com.unity3d.player.MultiWindowSupport: boolean getAllowResizableWindow(android.app.Activity)>,1.0,1.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,4.0,623.0,1525.0,2.447833065810594,14.63934426229508,2.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,4.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
<com.unity3d.player.UnityPlayer$e: void a()>,0,<com.unity3d.player.UnityPlayer$e: void a(com.unity3d.player.UnityPlayer$d)>,1.0,1.0,4.0,1.0,3.0,8.0,2.0,1.0,1.0,1.0,2.0,623.0,1525.0,2.447833065810594,14.63934426229508,4.0,1.0,3.0,8.0,2.0,1.0,1.0,1.0,2.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
<com.unity3d.player.UnityPlayerActivity: void onCreate(android.os.Bundle)>,0,<com.unity3d.player.UnityPlayer: void <clinit>()>,1.0,1.0,2.0,1.0,2.0,28.0,11.0,1.0,1.0,1.0,11.0,623.0,1525.0,2.447833065810594,14.63934426229508,2.0,1.0,2.0,28.0,11.0,1.0,1.0,1.0,11.0,623.0,1525.0,2.447833065810594,14.63934426229508,0
"<com.unity3d.player.UnityPlayer: void <init>(android.content.Context,com.unity3d.player.IUnityPlayerLifecycleEvents)>",0,<com.unity3d.player.m: void <clinit>()>,1.0,1.0,3.0,2.0,0.0,15.0,56.0,1.0,1.0,1.0,56.0,623.0,1525.0,2.447833065810594,14.63934426229508,3.0,2.0,0.0,15.0,56.0,1.0,1.0,1.0,56.0,623.0,1525.0,2.447833065810594,14.63934426229508,0
<com.unity3d.player.UnityPlayerActivity: void onPause()>,0,<com.unity3d.player.MultiWindowSupport: boolean getAllowResizableWindow(android.app.Activity)>,1.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,623.0,1525.0,2.447833065810594,14.63934426229508,2.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
<com.unity3d.player.UnityPlayer$5: void run()>,0,<com.unity3d.player.UnityPlayer: void reportSoftInputIsVisible(boolean)>,1.0,1.0,5.0,6.0,2.0,1.0,8.0,1.0,1.0,1.0,8.0,623.0,1525.0,2.447833065810594,14.63934426229508,5.0,6.0,2.0,1.0,8.0,1.0,1.0,1.0,8.0,623.0,1525.0,2.447833065810594,14.63934426229508,1
