method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getObject(org.json.JSONObject,java.lang.String)>",0,"<com.getcapacitor.util.JSONUtils: org.json.JSONObject getDeepestObject(org.json.JSONObject,java.lang.String)>",1.0,1.0,9.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,24478.0,208979.0,8.53742135795408,145.2405887672924,9.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,3.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
"<androidx.collection.SimpleArrayMap: int indexOf(java.lang.Object,int)>",0,"<androidx.collection.SimpleArrayMap: int binarySearchHashes(int[],int,int)>",1.0,1.0,4.0,2.0,3.0,2.0,441.0,1.0,1.0,-1.0,441.0,24478.0,208979.0,8.53742135795408,145.2405887672924,4.0,2.0,3.0,2.0,441.0,1.0,1.0,-1.0,441.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,13.0,6.0,1.0,1.0,-1.0,6.0,24478.0,208979.0,8.53742135795408,145.2405887672924,2.0,1.0,4.0,13.0,6.0,1.0,1.0,-1.0,6.0,24478.0,208979.0,8.53742135795408,145.2405887672924,0
<androidx.appcompat.app.AppCompatDelegateImpl$PanelFeatureState: androidx.appcompat.view.menu.MenuView getListMenuView(androidx.appcompat.view.menu.MenuPresenter$Callback)>,0,<androidx.appcompat.view.menu.MenuBuilder: void addMenuPresenter(androidx.appcompat.view.menu.MenuPresenter)>,1.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,24478.0,208979.0,8.53742135795408,145.2405887672924,8.0,1.0,1.0,3.0,4.0,1.0,1.0,-1.0,4.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
<androidx.core.splashscreen.SplashScreen$Impl: void <init>(android.app.Activity)>,0,<androidx.core.splashscreen.SplashScreen$Impl$$ExternalSyntheticLambda1: void <init>()>,1.0,1.0,9.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,24478.0,208979.0,8.53742135795408,145.2405887672924,9.0,2.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
"<androidx.webkit.internal.WebViewProviderAdapter: void addWebMessageListener(java.lang.String,java.lang.String[],androidx.webkit.WebViewCompat$WebMessageListener)>",0,<androidx.webkit.internal.WebMessageListenerAdapter: void <init>(androidx.webkit.WebViewCompat$WebMessageListener)>,1.0,1.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,24478.0,208979.0,8.53742135795408,145.2405887672924,9.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
<androidx.appcompat.view.ContextThemeWrapper: android.content.res.Resources$Theme getTheme()>,0,<androidx.appcompat.view.ContextThemeWrapper: void initializeTheme()>,1.0,1.0,5.0,31.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,24478.0,208979.0,8.53742135795408,145.2405887672924,5.0,31.0,9.0,2.0,1.0,1.0,1.0,-1.0,1.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1.0,1.0,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,24478.0,208979.0,8.53742135795408,145.2405887672924,8.0,1.0,17.0,2.0,20.0,1.0,1.0,-1.0,20.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
<androidx.core.view.WindowInsetsCompat$BuilderImpl29: androidx.core.view.WindowInsetsCompat build()>,0,<androidx.core.view.WindowInsetsCompat$BuilderImpl: void applyInsetTypes()>,1.0,1.0,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,24478.0,208979.0,8.53742135795408,145.2405887672924,4.0,1.0,13.0,3.0,5.0,1.0,1.0,-1.0,5.0,24478.0,208979.0,8.53742135795408,145.2405887672924,1
<org.apache.cordova.PluginManager: org.apache.cordova.CordovaPlugin getPlugin(java.lang.String)>,0,<com.getcapacitor.cordova.MockCordovaWebViewImpl: org.apache.cordova.CordovaPreferences getPreferences()>,1.0,1.0,6.0,6.0,0.0,3.0,46.0,1.0,1.0,-1.0,46.0,24478.0,208979.0,8.53742135795408,145.2405887672924,6.0,6.0,0.0,3.0,46.0,1.0,1.0,-1.0,46.0,24478.0,208979.0,8.53742135795408,145.2405887672924,0
