method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.facebook.internal.NativeProtocol: void updateAllAvailableProtocolVersionsAsync$lambda-1()>,0,<com.facebook.internal.instrument.crashshield.CrashShieldHandler: boolean isObjectCrashing(java.lang.Object)>,1.0,1.0,6.0,1.0,20.0,460.0,152.0,1.0,1.0,-1.0,152.0,38788.0,398806.0,10.281685057234196,231.30616389923924,6.0,1.0,20.0,460.0,152.0,1.0,1.0,-1.0,152.0,38788.0,398806.0,10.281685057234196,231.30616389923924,1
<com.facebook.appevents.AppEventQueue: void flushAndWait(com.facebook.appevents.FlushReason)>,0,<com.facebook.appevents.AppEventQueue: void <clinit>()>,1.0,1.0,7.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,38788.0,398806.0,10.281685057234196,231.30616389923924,7.0,3.0,5.0,28.0,21.0,1.0,1.0,-1.0,21.0,38788.0,398806.0,10.281685057234196,231.30616389923924,0
"<com.facebook.appevents.AppEvent: org.json.JSONObject getJSONObjectForAppEvent(java.lang.String,java.lang.String,java.lang.Double,android.os.Bundle,java.util.UUID)>",0,<com.facebook.appevents.restrictivedatafilter.RestrictiveDataManager: java.lang.String processEvent(java.lang.String)>,1.0,1.0,9.0,1.0,6.0,1.0,214.0,1.0,1.0,-1.0,214.0,38788.0,398806.0,10.281685057234196,231.30616389923924,9.0,1.0,6.0,1.0,214.0,1.0,1.0,-1.0,214.0,38788.0,398806.0,10.281685057234196,231.30616389923924,1
<com.facebook.internal.FetchedAppSettingsManager: org.json.JSONObject getAppSettingsQueryResponse(java.lang.String)>,0,"<com.facebook.GraphRequest$Companion: com.facebook.GraphRequest newGraphPathRequest(com.facebook.AccessToken,java.lang.String,com.facebook.GraphRequest$Callback)>",1.0,1.0,7.0,2.0,2.0,8.0,24.0,1.0,1.0,-1.0,24.0,38788.0,398806.0,10.281685057234196,231.30616389923924,7.0,2.0,2.0,8.0,24.0,1.0,1.0,-1.0,24.0,38788.0,398806.0,10.281685057234196,231.30616389923924,1
<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultConfig: void <init>(android.content.Context)>,0,<androidx.emoji2.text.EmojiCompatInitializer$BackgroundDefaultLoader: void <init>(android.content.Context)>,1.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,38788.0,398806.0,10.281685057234196,231.30616389923924,5.0,1.0,2.0,1.0,3.0,1.0,1.0,-1.0,3.0,38788.0,398806.0,10.281685057234196,231.30616389923924,1
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1.0,1.0,10.0,1.0,1.0,2.0,46.0,1.0,1.0,-1.0,46.0,38788.0,398806.0,10.281685057234196,231.30616389923924,10.0,1.0,1.0,2.0,46.0,1.0,1.0,-1.0,46.0,38788.0,398806.0,10.281685057234196,231.30616389923924,0
"<com.facebook.appevents.AppEventsLoggerImpl$Companion: void logEvent(com.facebook.appevents.AppEvent,com.facebook.appevents.AccessTokenAppIdPair)>",0,<com.facebook.internal.Logger: void <clinit>()>,1.0,1.0,9.0,1.0,2.0,43.0,18.0,1.0,1.0,-1.0,18.0,38788.0,398806.0,10.281685057234196,231.30616389923924,9.0,1.0,2.0,43.0,18.0,1.0,1.0,-1.0,18.0,38788.0,398806.0,10.281685057234196,231.30616389923924,0
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1.0,1.0,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,38788.0,398806.0,10.281685057234196,231.30616389923924,5.0,1.0,0.0,7.0,8.0,1.0,1.0,-1.0,8.0,38788.0,398806.0,10.281685057234196,231.30616389923924,0
<androidx.emoji2.text.EmojiCompat: void <init>(androidx.emoji2.text.EmojiCompat$Config)>,0,<androidx.emoji2.text.EmojiCompat$CompatInternal: void <init>(androidx.emoji2.text.EmojiCompat)>,1.0,1.0,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,38788.0,398806.0,10.281685057234196,231.30616389923924,6.0,1.0,1.0,2.0,24.0,1.0,1.0,-1.0,24.0,38788.0,398806.0,10.281685057234196,231.30616389923924,0
<androidx.fragment.app.FragmentManager: java.util.Set collectAllSpecialEffectsController()>,0,<androidx.collection.MapCollections$ArrayIterator: boolean hasNext()>,1.0,1.0,6.0,3.0,0.0,631.0,152.0,1.0,1.0,-1.0,152.0,38788.0,398806.0,10.281685057234196,231.30616389923924,6.0,3.0,0.0,631.0,152.0,1.0,1.0,-1.0,152.0,38788.0,398806.0,10.281685057234196,231.30616389923924,0
