method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<org.apache.cordova.PluginManager: void init()>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,5.0,2.0,0.0,45.0,17.0,1.0,1.0,1.0,17.0,2473.0,13667.0,5.526486049332794,68.92083119923905,5.0,2.0,0.0,45.0,17.0,1.0,1.0,1.0,17.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.CordovaActivity: void onResume()>,0,<org.apache.cordova.CordovaActivity: void <clinit>()>,1.0,1.0,2.0,1.0,0.0,7.0,10.0,1.0,1.0,1.0,10.0,2473.0,13667.0,5.526486049332794,68.92083119923905,2.0,1.0,0.0,7.0,10.0,1.0,1.0,1.0,10.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
"<org.apache.cordova.Whitelist: void addWhiteListEntry(java.lang.String,boolean)>",0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,8.0,1.0,0.0,45.0,11.0,1.0,1.0,1.0,11.0,2473.0,13667.0,5.526486049332794,68.92083119923905,8.0,1.0,0.0,45.0,11.0,1.0,1.0,1.0,11.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.networkinformation.NetworkManager: void onResume(boolean)>,0,<org.apache.cordova.CordovaPlugin: void onResume(boolean)>,1.0,1.0,5.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,2473.0,13667.0,5.526486049332794,68.92083119923905,5.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
"<org.apache.cordova.engine.SystemWebViewEngine: void exposeJsInterface(android.webkit.WebView,org.apache.cordova.CordovaBridge)>",0,<org.apache.cordova.engine.SystemExposedJsApi: void <init>(org.apache.cordova.CordovaBridge)>,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2473.0,13667.0,5.526486049332794,68.92083119923905,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
<org.apache.cordova.whitelist.WhitelistPlugin: void pluginInitialize()>,0,<org.apache.cordova.Whitelist: void <init>()>,1.0,1.0,7.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,2473.0,13667.0,5.526486049332794,68.92083119923905,7.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
"<org.apache.cordova.CordovaWebViewImpl: void showWebPage(java.lang.String,boolean,boolean,java.util.Map)>",0,"<org.apache.cordova.LOG: void d(java.lang.String,java.lang.String)>",1.0,1.0,7.0,2.0,2.0,27.0,30.0,1.0,1.0,1.0,30.0,2473.0,13667.0,5.526486049332794,68.92083119923905,7.0,2.0,2.0,27.0,30.0,1.0,1.0,1.0,30.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
"<org.apache.cordova.CordovaWebViewImpl: void showWebPage(java.lang.String,boolean,boolean,java.util.Map)>",0,<org.apache.cordova.PluginManager: boolean shouldAllowNavigation(java.lang.String)>,1.0,1.0,7.0,2.0,127.0,1.0,30.0,1.0,1.0,1.0,30.0,2473.0,13667.0,5.526486049332794,68.92083119923905,7.0,2.0,127.0,1.0,30.0,1.0,1.0,1.0,30.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.ConfigXmlParser: void parse(org.xmlpull.v1.XmlPullParser)>,0,<org.apache.cordova.ConfigXmlParser: void handleEndTag(org.xmlpull.v1.XmlPullParser)>,1.0,1.0,6.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,6.0,2473.0,13667.0,5.526486049332794,68.92083119923905,6.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,6.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
<org.apache.cordova.CordovaResourceApi: int getUriType(android.net.Uri)>,0,<org.apache.cordova.CordovaResourceApi: void <clinit>()>,1.0,1.0,9.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,2473.0,13667.0,5.526486049332794,68.92083119923905,9.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.CoreAndroid: void sendEventMessage(java.lang.String)>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,6.0,1.0,0.0,45.0,14.0,1.0,1.0,1.0,14.0,2473.0,13667.0,5.526486049332794,68.92083119923905,6.0,1.0,0.0,45.0,14.0,1.0,1.0,1.0,14.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.Whitelist: boolean isUrlWhiteListed(java.lang.String)>,0,<org.apache.cordova.Whitelist$URLPattern: boolean matches(android.net.Uri)>,1.0,1.0,10.0,2.0,10.0,1.0,85.0,1.0,1.0,1.0,85.0,2473.0,13667.0,5.526486049332794,68.92083119923905,10.0,2.0,10.0,1.0,85.0,1.0,1.0,1.0,85.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
"<org.apache.cordova.PluginManager: java.lang.Object postMessage(java.lang.String,java.lang.Object)>",0,"<org.apache.cordova.CordovaActivity$1: java.lang.Object onMessage(java.lang.String,java.lang.Object)>",1.0,1.0,7.0,3.0,1.0,1.0,129.0,1.0,1.0,1.0,129.0,2473.0,13667.0,5.526486049332794,68.92083119923905,7.0,3.0,1.0,1.0,129.0,1.0,1.0,1.0,129.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.PluginManager: void onStop()>,0,<org.apache.cordova.CordovaPlugin: void onStop()>,1.0,1.0,4.0,1.0,0.0,1.0,113.0,1.0,1.0,1.0,113.0,2473.0,13667.0,5.526486049332794,68.92083119923905,4.0,1.0,0.0,1.0,113.0,1.0,1.0,1.0,113.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
<org.apache.cordova.whitelist.WhitelistPlugin: void pluginInitialize()>,0,<org.apache.cordova.ConfigXmlParser: void <clinit>()>,1.0,1.0,7.0,1.0,0.0,3.0,5.0,1.0,1.0,1.0,5.0,2473.0,13667.0,5.526486049332794,68.92083119923905,7.0,1.0,0.0,3.0,5.0,1.0,1.0,1.0,5.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.CordovaActivity: void onSaveInstanceState(android.os.Bundle)>,0,<org.apache.cordova.CordovaInterfaceImpl: void onSaveInstanceState(android.os.Bundle)>,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2473.0,13667.0,5.526486049332794,68.92083119923905,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
<org.apache.cordova.CordovaActivity: void onCreate(android.os.Bundle)>,0,<org.apache.cordova.LOG: void <clinit>()>,1.0,1.0,3.0,1.0,0.0,45.0,15.0,1.0,1.0,1.0,15.0,2473.0,13667.0,5.526486049332794,68.92083119923905,3.0,1.0,0.0,45.0,15.0,1.0,1.0,1.0,15.0,2473.0,13667.0,5.526486049332794,68.92083119923905,0
<org.apache.cordova.NativeToJsMessageQueue: void enqueueMessage(org.apache.cordova.NativeToJsMessageQueue$JsMessage)>,0,"<org.apache.cordova.LOG: void d(java.lang.String,java.lang.String)>",1.0,1.0,10.0,1.0,2.0,27.0,7.0,1.0,1.0,1.0,7.0,2473.0,13667.0,5.526486049332794,68.92083119923905,10.0,1.0,2.0,27.0,7.0,1.0,1.0,1.0,7.0,2473.0,13667.0,5.526486049332794,68.92083119923905,1
