method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<com.microsoft.appcenter.ingestion.models.json.JSONUtils: java.util.List readArray(org.json.JSONObject,java.lang.String,com.microsoft.appcenter.ingestion.models.json.ModelFactory)>",0,<com.microsoft.appcenter.ingestion.models.AbstractLog: void read(org.json.JSONObject)>,1.0,1.0,11.0,3.0,19.0,7.0,67.0,1.0,1.0,-1.0,67.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,11.0,3.0,19.0,7.0,67.0,1.0,1.0,-1.0,67.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,0
<com.microsoft.appcenter.AppCenter: void finishConfiguration(boolean)>,0,"<com.microsoft.appcenter.channel.DefaultChannel: void addGroup(java.lang.String,int,long,int,com.microsoft.appcenter.ingestion.Ingestion,com.microsoft.appcenter.channel.Channel$GroupListener)>",1.0,1.0,6.0,1.0,298.0,4.0,25.0,1.0,1.0,-1.0,25.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,6.0,1.0,298.0,4.0,25.0,1.0,1.0,-1.0,25.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,0
"<com.facebook.imagepipeline.platform.PlatformDecoderFactory: com.facebook.imagepipeline.platform.PlatformDecoder buildPlatformDecoder(com.facebook.imagepipeline.memory.PoolFactory,boolean)>",0,<com.facebook.imagepipeline.platform.DefaultDecoder: void <clinit>()>,1.0,1.0,13.0,1.0,0.0,5.0,11.0,1.0,1.0,-1.0,11.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,13.0,1.0,0.0,5.0,11.0,1.0,1.0,-1.0,11.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,0
"<com.microsoft.appcenter.channel.DefaultChannel: void addGroup(java.lang.String,int,long,int,com.microsoft.appcenter.ingestion.Ingestion,com.microsoft.appcenter.channel.Channel$GroupListener)>",0,<com.microsoft.appcenter.persistence.DatabasePersistence: int countLogs(java.lang.String)>,1.0,1.0,6.0,4.0,14.0,1.0,298.0,1.0,1.0,-1.0,298.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,6.0,4.0,14.0,1.0,298.0,1.0,1.0,-1.0,298.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,0
<androidx.arch.core.internal.SafeIterableMap$ListIterator: java.util.Map$Entry next()>,0,<androidx.arch.core.internal.SafeIterableMap$ListIterator: androidx.arch.core.internal.SafeIterableMap$Entry nextNode()>,1.0,1.0,4.0,1140.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,4.0,1140.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,1
<com.microsoft.appcenter.crashes.ingestion.models.StackFrame: void read(org.json.JSONObject)>,0,<com.microsoft.appcenter.crashes.ingestion.models.StackFrame: void setClassName(java.lang.String)>,1.0,1.0,12.0,1.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,12.0,1.0,0.0,2.0,6.0,1.0,1.0,-1.0,6.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,1
"<com.microsoft.appcenter.ingestion.models.json.JSONUtils: void writeArray(org.json.JSONStringer,java.lang.String,java.util.List)>",0,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,10.0,3.0,0.0,1127.0,233.0,1.0,1.0,-1.0,233.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,10.0,3.0,0.0,1127.0,233.0,1.0,1.0,-1.0,233.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,0
"<com.microsoft.appcenter.AppCenter: void startOrUpdateServiceFromApp(com.microsoft.appcenter.AppCenterService,java.util.Collection,java.util.Collection)>",0,"<com.microsoft.appcenter.AppCenter: boolean startService(com.microsoft.appcenter.AppCenterService,java.util.Collection)>",1.0,1.0,8.0,1.0,67.0,2.0,114.0,1.0,1.0,-1.0,114.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,8.0,1.0,67.0,2.0,114.0,1.0,1.0,-1.0,114.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,1
<androidx.lifecycle.LifecycleRegistry: void forwardPass(androidx.lifecycle.LifecycleOwner)>,0,<androidx.lifecycle.LifecycleRegistry: void pushParentState(androidx.lifecycle.Lifecycle$State)>,1.0,1.0,7.0,1.0,1.0,3.0,35.0,1.0,1.0,-1.0,35.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,7.0,1.0,1.0,3.0,35.0,1.0,1.0,-1.0,35.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,1
"<com.google.android.gms.common.GooglePlayServicesUtilLight: int isGooglePlayServicesAvailable(android.content.Context,int)>",0,<com.google.android.gms.common.internal.zzs: void <clinit>()>,1.0,1.0,8.0,1.0,1.0,3.0,23.0,1.0,1.0,-1.0,23.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,8.0,1.0,1.0,3.0,23.0,1.0,1.0,-1.0,23.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,0
<com.facebook.imagepipeline.core.ImagePipelineConfig: void <init>(com.facebook.imagepipeline.core.ImagePipelineConfig$Builder)>,0,<com.facebook.imagepipeline.core.ImagePipelineConfig$Builder: com.facebook.imagepipeline.bitmaps.PlatformBitmapFactory access$1800(com.facebook.imagepipeline.core.ImagePipelineConfig$Builder)>,1.0,1.0,8.0,1.0,0.0,1.0,74.0,1.0,1.0,-1.0,74.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,8.0,1.0,0.0,1.0,74.0,1.0,1.0,-1.0,74.0,58443.0,1093204.0,18.70547370942628,360.19731724362515,1
