method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<k1.a: void <init>(io.flutter.embedding.engine.FlutterJNI,android.content.res.AssetManager)>",0,<k1.a$a: void <init>(k1.a)>,1,1,2,2,1,1,6,1,1,-1,6,16349.0,92077.0,5.631965257813934,103.33076664096356,2,2,1,1,6,1,1,-1,6,16349.0,92077.0,5.631965257813934,103.33076664096356,0
<androidx.lifecycle.m: void a(androidx.lifecycle.k)>,0,<androidx.lifecycle.m: void m()>,1,1,6,9,2,3,19,1,1,-1,19,16349.0,92077.0,5.631965257813934,103.33076664096356,6,9,2,3,19,1,1,-1,19,16349.0,92077.0,5.631965257813934,103.33076664096356,0
"<com.google.firebase.remoteconfig.c: com.google.firebase.remoteconfig.a c(p0.d,java.lang.String,y0.e,q0.c,java.util.concurrent.Executor,com.google.firebase.remoteconfig.internal.d,com.google.firebase.remoteconfig.internal.d,com.google.firebase.remoteconfig.internal.d,com.google.firebase.remoteconfig.internal.j,com.google.firebase.remoteconfig.internal.l,com.google.firebase.remoteconfig.internal.m)>",0,<l.g: boolean containsKey(java.lang.Object)>,1,1,7,1,1,29,38,1,1,-1,38,16349.0,92077.0,5.631965257813934,103.33076664096356,7,1,1,29,38,1,1,-1,38,16349.0,92077.0,5.631965257813934,103.33076664096356,0
<androidx.emoji2.text.e: void <init>(androidx.emoji2.text.e$c)>,0,<l.b: void <init>()>,1,1,8,1,1,3,19,1,1,-1,19,16349.0,92077.0,5.631965257813934,103.33076664096356,8,1,1,3,19,1,1,-1,19,16349.0,92077.0,5.631965257813934,103.33076664096356,0
<com.google.firebase.remoteconfig.c: com.google.firebase.remoteconfig.a b(java.lang.String)>,0,"<com.google.firebase.remoteconfig.c: com.google.firebase.remoteconfig.internal.l h(com.google.firebase.remoteconfig.internal.d,com.google.firebase.remoteconfig.internal.d)>",1,1,6,1,2,1,9,1,1,-1,9,16349.0,92077.0,5.631965257813934,103.33076664096356,6,1,2,1,9,1,1,-1,9,16349.0,92077.0,5.631965257813934,103.33076664096356,0
<com.google.firebase.installations.FirebaseInstallationsRegistrar: java.util.List getComponents()>,0,<t0.d$b: t0.d c()>,1,1,13,2,3,8,11,1,1,-1,11,16349.0,92077.0,5.631965257813934,103.33076664096356,13,2,3,8,11,1,1,-1,11,16349.0,92077.0,5.631965257813934,103.33076664096356,0
<t0.o: void i(java.util.List)>,0,"<t0.m: void <init>(t0.o,t0.d)>",1,1,11,1,1,1,248,1,1,-1,248,16349.0,92077.0,5.631965257813934,103.33076664096356,11,1,1,1,248,1,1,-1,248,16349.0,92077.0,5.631965257813934,103.33076664096356,0
<t0.a: java.lang.Object a(java.lang.Class)>,0,<t0.m: java.lang.Object a()>,1,1,9,7,2,22,14,1,1,-1,14,16349.0,92077.0,5.631965257813934,103.33076664096356,9,7,2,22,14,1,1,-1,14,16349.0,92077.0,5.631965257813934,103.33076664096356,0
"<com.google.firebase.remoteconfig.internal.n: com.google.firebase.remoteconfig.internal.n c(android.content.Context,java.lang.String)>",0,"<com.google.firebase.remoteconfig.internal.n: void <init>(android.content.Context,java.lang.String)>",1,1,8,1,1,1,35,1,1,-1,35,16349.0,92077.0,5.631965257813934,103.33076664096356,8,1,1,1,35,1,1,-1,35,16349.0,92077.0,5.631965257813934,103.33076664096356,0
<io.flutter.embedding.android.d: void onCreate(android.os.Bundle)>,0,<androidx.lifecycle.m: void h(androidx.lifecycle.h$b)>,1,1,2,1,3,26,11,1,1,-1,11,16349.0,92077.0,5.631965257813934,103.33076664096356,2,1,3,26,11,1,1,-1,11,16349.0,92077.0,5.631965257813934,103.33076664096356,0
