method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<q4.i: r4.x b()>,0,<s4.i: java.lang.Object get()>,1.0,1.0,6.0,1.0,1.0,22.0,30.0,1.0,1.0,-1.0,30.0,40172.0,350124.0,8.715622821865976,199.0486627594795,6.0,1.0,1.0,22.0,30.0,1.0,1.0,-1.0,30.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
"<com.google.firebase.remoteconfig.c: com.google.firebase.remoteconfig.internal.n i(android.content.Context,java.lang.String,java.lang.String)>",0,<com.google.firebase.remoteconfig.internal.n: void <init>(android.content.SharedPreferences)>,1.0,1.0,8.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,40172.0,350124.0,8.715622821865976,199.0486627594795,8.0,1.0,1.0,1.0,5.0,1.0,1.0,-1.0,5.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<f8.c: f8.c c()>,0,<f8.c: void <init>()>,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,9.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<m4.a: java.lang.Object get()>,0,<s4.n0: java.lang.Object get()>,1.0,1.0,5.0,23.0,1.0,22.0,31.0,1.0,1.0,-1.0,31.0,40172.0,350124.0,8.715622821865976,199.0486627594795,5.0,23.0,1.0,22.0,31.0,1.0,1.0,-1.0,31.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<y6.w: java.lang.Object get()>,0,<y6.w: java.lang.Object get()>,1.0,1.0,6.0,29.0,15.0,29.0,15.0,1.0,1.0,-1.0,15.0,40172.0,350124.0,8.715622821865976,199.0486627594795,6.0,29.0,15.0,29.0,15.0,1.0,1.0,-1.0,15.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<d7.j: a6.i T()>,0,<d7.i0: void <clinit>()>,1.0,1.0,8.0,1.0,1.0,12.0,15.0,1.0,1.0,-1.0,15.0,40172.0,350124.0,8.715622821865976,199.0486627594795,8.0,1.0,1.0,12.0,15.0,1.0,1.0,-1.0,15.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<com.google.firebase.abt.component.AbtRegistrar: com.google.firebase.abt.component.a a(y6.e)>,0,<com.google.firebase.abt.component.AbtRegistrar: com.google.firebase.abt.component.a lambda$getComponents$0(y6.e)>,1.0,1.0,10.0,1.0,6.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,10.0,1.0,6.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<j4.e: void <init>(android.content.Context)>,0,<j4.e: void o(android.content.Context)>,1.0,1.0,15.0,1.0,21.0,1.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,15.0,1.0,21.0,1.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
"<f7.a$j: void b(f7.a0$e$d$a,p7.e)>",0,<f7.l: f7.b0 c()>,1.0,1.0,14.0,1.0,0.0,3.0,10.0,1.0,1.0,-1.0,10.0,40172.0,350124.0,8.715622821865976,199.0486627594795,14.0,1.0,0.0,3.0,10.0,1.0,1.0,-1.0,10.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<g7.g: f7.a0 A(android.util.JsonReader)>,0,<f7.b$b: f7.a0$b b(java.lang.String)>,1.0,1.0,10.0,1.0,1.0,2.0,23.0,1.0,1.0,-1.0,23.0,40172.0,350124.0,8.715622821865976,199.0486627594795,10.0,1.0,1.0,2.0,23.0,1.0,1.0,-1.0,23.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
"<d7.n: f7.a0$e$d c(java.lang.Throwable,java.lang.Thread,java.lang.String,long,int,int,boolean)>",0,<f7.a0$e$d: f7.a0$e$d$b a()>,1.0,1.0,7.0,1.0,1.0,3.0,17.0,1.0,1.0,-1.0,17.0,40172.0,350124.0,8.715622821865976,199.0486627594795,7.0,1.0,1.0,3.0,17.0,1.0,1.0,-1.0,17.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<a6.j0: a6.i f(a6.a)>,0,<a6.k: void <clinit>()>,1.0,1.0,5.0,2.0,2.0,7.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,5.0,2.0,2.0,7.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
"<d7.j: f7.c0$a p(d7.v,d7.a)>",0,<d7.s: d7.s e(java.lang.String)>,1.0,1.0,9.0,1.0,1.0,2.0,6.0,1.0,1.0,-1.0,6.0,40172.0,350124.0,8.715622821865976,199.0486627594795,9.0,1.0,1.0,2.0,6.0,1.0,1.0,-1.0,6.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<androidx.lifecycle.l: void a(androidx.lifecycle.j)>,0,<k.a: boolean contains(java.lang.Object)>,1.0,1.0,6.0,10.0,1.0,4.0,19.0,1.0,1.0,-1.0,19.0,40172.0,350124.0,8.715622821865976,199.0486627594795,6.0,10.0,1.0,4.0,19.0,1.0,1.0,-1.0,19.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
"<com.facebook.soloader.SoLoader: void g(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.Api18TraceUtils: void a(java.lang.String,java.lang.String,java.lang.String)>",1.0,1.0,10.0,1.0,6.0,5.0,42.0,1.0,1.0,-1.0,42.0,40172.0,350124.0,8.715622821865976,199.0486627594795,10.0,1.0,6.0,5.0,42.0,1.0,1.0,-1.0,42.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<r7.d: r7.d j(q7.a)>,0,<f7.a: void a(q7.b)>,1.0,1.0,10.0,2.0,23.0,2.0,3.0,1.0,1.0,-1.0,3.0,40172.0,350124.0,8.715622821865976,199.0486627594795,10.0,2.0,23.0,2.0,3.0,1.0,1.0,-1.0,3.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<w7.b: void run()>,0,<com.google.firebase.installations.c: void <clinit>()>,1.0,1.0,4.0,86.0,2.0,9.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,4.0,86.0,2.0,9.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
"<com.facebook.soloader.SoLoader: boolean t(java.lang.String,java.lang.String,java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<m.g: java.lang.Object put(java.lang.Object,java.lang.Object)>",1.0,1.0,9.0,2.0,523.0,216.0,97.0,1.0,1.0,-1.0,97.0,40172.0,350124.0,8.715622821865976,199.0486627594795,9.0,2.0,523.0,216.0,97.0,1.0,1.0,-1.0,97.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<com.facebook.react.t: com.facebook.react.q a()>,0,<f7.b0: java.util.Iterator iterator()>,1.0,1.0,3.0,1.0,10.0,313.0,132.0,1.0,1.0,-1.0,132.0,40172.0,350124.0,8.715622821865976,199.0486627594795,3.0,1.0,10.0,313.0,132.0,1.0,1.0,-1.0,132.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
"<d7.d0: void r(java.lang.Throwable,java.lang.Thread,java.lang.String,long)>",0,"<d7.d0: void q(java.lang.Throwable,java.lang.Thread,java.lang.String,java.lang.String,long,boolean)>",1.0,1.0,7.0,1.0,4.0,2.0,7.0,1.0,1.0,-1.0,7.0,40172.0,350124.0,8.715622821865976,199.0486627594795,7.0,1.0,4.0,2.0,7.0,1.0,1.0,-1.0,7.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<com.facebook.soloader.SoLoader: boolean p(java.lang.String)>,0,"<com.facebook.soloader.SoLoader: boolean q(java.lang.String,int)>",1.0,1.0,6.0,13.0,7.0,2.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,6.0,13.0,7.0,2.0,2.0,1.0,1.0,-1.0,2.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<a6.t: void run()>,0,"<a6.j0: a6.i a(java.util.concurrent.Executor,a6.c)>",1.0,1.0,4.0,86.0,3.0,4.0,25.0,1.0,1.0,-1.0,25.0,40172.0,350124.0,8.715622821865976,199.0486627594795,4.0,86.0,3.0,4.0,25.0,1.0,1.0,-1.0,25.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
"<d7.i0: a6.i j(java.util.concurrent.Executor,a6.i,a6.i)>",0,"<a6.j0: a6.i g(java.util.concurrent.Executor,a6.a)>",1.0,1.0,16.0,1.0,4.0,8.0,5.0,1.0,1.0,-1.0,5.0,40172.0,350124.0,8.715622821865976,199.0486627594795,16.0,1.0,4.0,8.0,5.0,1.0,1.0,-1.0,5.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<com.google.android.datatransport.cct.d: j4.i a(j4.i)>,0,<j4.b$b: j4.i d()>,1.0,1.0,7.0,2.0,7.0,5.0,20.0,1.0,1.0,-1.0,20.0,40172.0,350124.0,8.715622821865976,199.0486627594795,7.0,2.0,7.0,5.0,20.0,1.0,1.0,-1.0,20.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<u7.g: java.lang.Void f(u7.g)>,0,<u7.g: java.lang.Void k()>,1.0,1.0,6.0,1.0,18.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,6.0,1.0,18.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<u4.c$a: void <clinit>()>,0,<u4.c: void <init>()>,1.0,1.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,18.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<com.google.android.gms.internal.measurement.z0: void <clinit>()>,0,<com.google.android.gms.internal.measurement.y0: void <init>(com.google.android.gms.internal.measurement.x0)>,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,11.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
"<f7.a$q: void b(f7.a0$e$d$c,p7.e)>",0,<f7.s: boolean g()>,1.0,1.0,14.0,1.0,0.0,2.0,15.0,1.0,1.0,-1.0,15.0,40172.0,350124.0,8.715622821865976,199.0486627594795,14.0,1.0,0.0,2.0,15.0,1.0,1.0,-1.0,15.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<com.google.firebase.installations.c: void x()>,0,<com.google.firebase.installations.i: boolean g(java.lang.String)>,1.0,1.0,10.0,2.0,3.0,1.0,8.0,1.0,1.0,-1.0,8.0,40172.0,350124.0,8.715622821865976,199.0486627594795,10.0,2.0,3.0,1.0,8.0,1.0,1.0,-1.0,8.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
<g7.g: f7.a0$e$e z(android.util.JsonReader)>,0,<f7.u$b: f7.a0$e$e$a b(java.lang.String)>,1.0,1.0,12.0,1.0,1.0,2.0,16.0,1.0,1.0,-1.0,16.0,40172.0,350124.0,8.715622821865976,199.0486627594795,12.0,1.0,1.0,2.0,16.0,1.0,1.0,-1.0,16.0,40172.0,350124.0,8.715622821865976,199.0486627594795,0
<com.facebook.react.q: com.facebook.react.r q()>,0,<com.facebook.react.r: void <init>()>,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,4.0,1.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,40172.0,350124.0,8.715622821865976,199.0486627594795,1
