method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<b.b.a.b.a: java.lang.Object g(java.lang.Object,java.lang.Object)>",0,<b.b.a.b.a: b.b.a.b.b$c c(java.lang.Object)>,1.0,1.0,7.0,3.0,2.0,3.0,3.0,1.0,1.0,-1.0,3.0,11444.0,60281.0,5.267476406850752,100.82840364293892,7.0,3.0,2.0,3.0,3.0,1.0,1.0,-1.0,3.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
<androidx.appcompat.app.f: int M()>,0,<androidx.appcompat.app.e: int j()>,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,7.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
<b.b.a.a.a: void <init>()>,0,<b.b.a.a.b: void <init>()>,1.0,1.0,7.0,1.0,4.0,1.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,7.0,1.0,4.0,1.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
"<androidx.core.content.FileProvider: void attachInfo(android.content.Context,android.content.pm.ProviderInfo)>",0,<androidx.core.content.FileProvider: void <clinit>()>,1.0,1.0,2.0,1.0,4.0,19.0,5.0,1.0,1.0,-1.0,5.0,11444.0,60281.0,5.267476406850752,100.82840364293892,2.0,1.0,4.0,19.0,5.0,1.0,1.0,-1.0,5.0,11444.0,60281.0,5.267476406850752,100.82840364293892,0
<androidx.core.content.FileProvider$b: void <init>(java.lang.String)>,0,<java.lang.Object: void <init>()>,1.0,1.0,5.0,1.0,2.0,755.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,5.0,1.0,2.0,755.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
<androidx.lifecycle.i: void p()>,0,<androidx.lifecycle.i: void g(androidx.lifecycle.h)>,1.0,1.0,6.0,2.0,19.0,1.0,10.0,1.0,1.0,-1.0,10.0,11444.0,60281.0,5.267476406850752,100.82840364293892,6.0,2.0,19.0,1.0,10.0,1.0,1.0,-1.0,10.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
<androidx.activity.ComponentActivity$3: void <init>(androidx.activity.ComponentActivity)>,0,<java.lang.Object: void <init>()>,1.0,1.0,7.0,1.0,2.0,755.0,1.0,1.0,1.0,-1.0,1.0,11444.0,60281.0,5.267476406850752,100.82840364293892,7.0,1.0,2.0,755.0,1.0,1.0,1.0,-1.0,1.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
<androidx.lifecycle.i: void g(androidx.lifecycle.h)>,0,<androidx.lifecycle.i: void m()>,1.0,1.0,7.0,1.0,2.0,3.0,19.0,1.0,1.0,-1.0,19.0,11444.0,60281.0,5.267476406850752,100.82840364293892,7.0,1.0,2.0,3.0,19.0,1.0,1.0,-1.0,19.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
<androidx.lifecycle.e$a: void <clinit>()>,0,<androidx.lifecycle.e$c: void <clinit>()>,1.0,1.0,6.0,3.0,1.0,24.0,5.0,1.0,1.0,-1.0,5.0,11444.0,60281.0,5.267476406850752,100.82840364293892,6.0,3.0,1.0,24.0,5.0,1.0,1.0,-1.0,5.0,11444.0,60281.0,5.267476406850752,100.82840364293892,0
<de.appplant.cordova.emailcomposer.Provider: void <init>()>,0,<androidx.core.content.FileProvider: void <init>()>,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,-1.0,1.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1.0,2.0,1.0,6.0,1.0,1.0,1.0,-1.0,1.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
<b.c.b: void <init>(int)>,0,<b.c.b: void a(int)>,1.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,-1.0,3.0,11444.0,60281.0,5.267476406850752,100.82840364293892,4.0,2.0,1.0,4.0,3.0,1.0,1.0,-1.0,3.0,11444.0,60281.0,5.267476406850752,100.82840364293892,0
<androidx.lifecycle.i: void p()>,0,<b.b.a.b.b: java.util.Map$Entry b()>,1.0,1.0,6.0,2.0,0.0,2.0,10.0,1.0,1.0,-1.0,10.0,11444.0,60281.0,5.267476406850752,100.82840364293892,6.0,2.0,0.0,2.0,10.0,1.0,1.0,-1.0,10.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
"<androidx.appcompat.widget.n0: android.graphics.drawable.Drawable f(android.content.Context,int)>",0,<androidx.appcompat.app.AppCompatActivity: android.content.res.Resources getResources()>,1.0,1.0,8.0,1.0,4.0,83.0,19.0,1.0,1.0,-1.0,19.0,11444.0,60281.0,5.267476406850752,100.82840364293892,8.0,1.0,4.0,83.0,19.0,1.0,1.0,-1.0,19.0,11444.0,60281.0,5.267476406850752,100.82840364293892,0
<androidx.appcompat.app.f: void <clinit>()>,0,<b.c.g: void <init>()>,1.0,1.0,2.0,7.0,2.0,11.0,8.0,1.0,1.0,-1.0,8.0,11444.0,60281.0,5.267476406850752,100.82840364293892,2.0,7.0,2.0,11.0,8.0,1.0,1.0,-1.0,8.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
"<androidx.appcompat.widget.n0: android.graphics.drawable.Drawable i(android.content.Context,long)>",0,<androidx.appcompat.app.AppCompatActivity: android.content.res.Resources getResources()>,1.0,1.0,7.0,2.0,4.0,83.0,17.0,1.0,1.0,-1.0,17.0,11444.0,60281.0,5.267476406850752,100.82840364293892,7.0,2.0,4.0,83.0,17.0,1.0,1.0,-1.0,17.0,11444.0,60281.0,5.267476406850752,100.82840364293892,0
"<androidx.appcompat.app.e: androidx.appcompat.app.e g(android.app.Activity,androidx.appcompat.app.d)>",0,<androidx.appcompat.app.f: void <clinit>()>,1.0,1.0,5.0,1.0,8.0,7.0,3.0,1.0,1.0,-1.0,3.0,11444.0,60281.0,5.267476406850752,100.82840364293892,5.0,1.0,8.0,7.0,3.0,1.0,1.0,-1.0,3.0,11444.0,60281.0,5.267476406850752,100.82840364293892,0
<b.b.a.a.a: boolean b()>,0,<b.b.a.a.a: boolean b()>,1.0,1.0,6.0,3.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,6.0,3.0,2.0,3.0,2.0,1.0,1.0,-1.0,2.0,11444.0,60281.0,5.267476406850752,100.82840364293892,0
<androidx.fragment.app.l$j: void <init>(androidx.fragment.app.l)>,0,<java.lang.Object: void <init>()>,1.0,1.0,10.0,1.0,2.0,755.0,1.0,1.0,1.0,-1.0,1.0,11444.0,60281.0,5.267476406850752,100.82840364293892,10.0,1.0,2.0,755.0,1.0,1.0,1.0,-1.0,1.0,11444.0,60281.0,5.267476406850752,100.82840364293892,1
