method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
<com.facebook.soloader.UnpackingSoSource: void prepare(int)>,0,<com.facebook.soloader.SysUtil: void mkdirOrThrow(java.io.File)>,1,1,6,4,7,1,14,1,1,-1,14,32283.0,288704.0,8.942911129696745,176.38509338284194,6,4,7,1,14,1,1,-1,14,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable createDrawableIfNeeded(android.content.Context,int)>",0,"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getCachedDrawable(android.content.Context,long)>",1,1,10,1,17,2,19,1,1,-1,19,32283.0,288704.0,8.942911129696745,176.38509338284194,10,1,17,2,19,1,1,-1,19,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",0,"<com.facebook.soloader.DirectorySoSource: int loadLibrary(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",1,1,10,1,1,2,40,1,1,-1,40,32283.0,288704.0,8.942911129696745,176.38509338284194,10,1,1,2,40,1,1,-1,40,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<com.facebook.react.ReactInstanceManager: void <init>(android.content.Context,android.app.Activity,com.facebook.react.modules.core.DefaultHardwareBackBtnHandler,com.facebook.react.bridge.JavaScriptExecutorFactory,com.facebook.react.bridge.JSBundleLoader,java.lang.String,java.util.List,boolean,com.facebook.react.bridge.NotThreadSafeBridgeIdleDebugListener,com.facebook.react.common.LifecycleState,com.facebook.react.uimanager.UIImplementationProvider,com.facebook.react.bridge.NativeModuleCallExceptionHandler,com.facebook.react.devsupport.RedBoxHandler,boolean,com.facebook.react.devsupport.interfaces.DevBundleDownloadListener,int,int,com.facebook.react.bridge.JSIModulePackage,java.util.Map,com.facebook.react.ReactPackageTurboModuleManagerDelegate$Builder)>",0,<com.facebook.react.uimanager.DisplayMetricsHolder: void initDisplayMetricsIfNotInitialized(android.content.Context)>,1,1,5,1,2,4,30,1,1,-1,30,32283.0,288704.0,8.942911129696745,176.38509338284194,5,1,2,4,30,1,1,-1,30,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: java.lang.String getFriendlyDeviceName()>,0,<com.facebook.react.modules.systeminfo.AndroidInfoHelpers: void <clinit>()>,1,1,5,1,0,7,8,1,1,-1,8,32283.0,288704.0,8.942911129696745,176.38509338284194,5,1,0,7,8,1,1,-1,8,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.appcompat.widget.VectorEnabledTintResources: boolean shouldBeUsed()>,0,<androidx.appcompat.widget.VectorEnabledTintResources: boolean isCompatVectorFromResourcesEnabled()>,1,1,6,3,1,1,3,1,1,-1,3,32283.0,288704.0,8.942911129696745,176.38509338284194,6,3,1,1,3,1,1,-1,3,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.fragment.app.FragmentManager: boolean execPendingActions(boolean)>,0,<androidx.fragment.app.FragmentStore: void burpActive()>,1,1,5,9,30,3,7,1,1,-1,7,32283.0,288704.0,8.942911129696745,176.38509338284194,5,9,30,3,7,1,1,-1,7,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<com.facebook.react.bridge.UiThreadUtil: void runOnUiThread(java.lang.Runnable,long)>",0,<com.facebook.react.ReactInstanceManager$5: void run()>,1,1,7,1,24,92,305,1,1,-1,305,32283.0,288704.0,8.942911129696745,176.38509338284194,7,1,24,92,305,1,1,-1,305,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<com.facebook.react.ReactDelegate: void onHostResume()>,0,"<com.facebook.react.ReactInstanceManager: void onHostResume(android.app.Activity,com.facebook.react.modules.core.DefaultHardwareBackBtnHandler)>",1,1,4,2,2,1,5,1,1,-1,5,32283.0,288704.0,8.942911129696745,176.38509338284194,4,2,2,1,5,1,1,-1,5,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.arch.core.internal.SafeIterableMap: java.lang.Object remove(java.lang.Object)>,0,<androidx.collection.MapCollections$KeySet: java.util.Iterator iterator()>,1,1,11,3,1,212,154,1,1,-1,154,32283.0,288704.0,8.942911129696745,176.38509338284194,11,3,1,212,154,1,1,-1,154,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.lifecycle.LifecycleRegistry: void addObserver(androidx.lifecycle.LifecycleObserver)>,0,<androidx.lifecycle.LifecycleRegistry: void sync()>,1,1,7,9,13,2,12,1,1,-1,12,32283.0,288704.0,8.942911129696745,176.38509338284194,7,9,13,2,12,1,1,-1,12,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable loadDrawableFromDelegates(android.content.Context,int)>",0,<androidx.collection.SimpleArrayMap: java.lang.Object get(java.lang.Object)>,1,1,9,2,2,163,48,1,1,-1,48,32283.0,288704.0,8.942911129696745,176.38509338284194,9,2,2,163,48,1,1,-1,48,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<com.facebook.react.ReactActivityDelegate: void onCreate(android.os.Bundle)>,0,<com.facebook.react.ReactActivityDelegate: java.lang.String getMainComponentName()>,1,1,3,1,0,1,6,1,1,-1,6,32283.0,288704.0,8.942911129696745,176.38509338284194,3,1,0,1,6,1,1,-1,6,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<com.facebook.react.bridge.JSBundleLoader: com.facebook.react.bridge.JSBundleLoader createAssetLoader(android.content.Context,java.lang.String,boolean)>",0,"<com.facebook.react.bridge.JSBundleLoader$1: void <init>(android.content.Context,java.lang.String,boolean)>",1,1,5,1,1,1,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,5,1,1,1,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<com.facebook.react.ReactRootView: void startReactApplication(com.facebook.react.ReactInstanceManager,java.lang.String,android.os.Bundle)>",0,"<com.facebook.react.ReactRootView: void startReactApplication(com.facebook.react.ReactInstanceManager,java.lang.String,android.os.Bundle,java.lang.String)>",1,1,6,3,5,1,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,6,3,5,1,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<com.facebook.soloader.SoLoader: void initSoSources(android.content.Context,int,com.facebook.soloader.SoFileLoader)>",0,<com.facebook.soloader.SysUtil: boolean is64Bit()>,1,1,5,1,13,1,34,1,1,-1,34,32283.0,288704.0,8.942911129696745,176.38509338284194,5,1,13,1,34,1,1,-1,34,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<com.facebook.react.ReactInstanceManager: void recreateReactContextInBackgroundInner()>,0,<com.facebook.react.bridge.UiThreadUtil: void assertOnUiThread()>,1,1,9,1,2,82,17,1,1,-1,17,32283.0,288704.0,8.942911129696745,176.38509338284194,9,1,2,82,17,1,1,-1,17,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.collection.SparseArrayCompat: void <init>(int)>,0,<androidx.collection.ContainerHelpers: int idealIntArraySize(int)>,1,1,5,2,2,3,3,1,1,-1,3,32283.0,288704.0,8.942911129696745,176.38509338284194,5,2,2,3,3,1,1,-1,3,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.appcompat.app.AppCompatDelegateImpl: void ensureSubDecor()>,0,<androidx.appcompat.app.AppCompatDelegateImpl: void invalidatePanelMenu(int)>,1,1,7,4,2,2,14,1,1,-1,14,32283.0,288704.0,8.942911129696745,176.38509338284194,7,4,2,2,14,1,1,-1,14,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.collection.SimpleArrayMap: boolean containsKey(java.lang.Object)>,0,<androidx.collection.SimpleArrayMap: int indexOfKey(java.lang.Object)>,1,1,8,38,488,5,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,8,38,488,5,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable loadDrawableFromDelegates(android.content.Context,int)>",0,<androidx.collection.SparseArrayCompat: void <clinit>()>,1,1,9,2,1,11,48,1,1,-1,48,32283.0,288704.0,8.942911129696745,176.38509338284194,9,2,1,11,48,1,1,-1,48,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<io.invertase.firebase.app.ReactNativeFirebaseAppInitProvider: void <init>()>,0,<io.invertase.firebase.common.ReactNativeFirebaseInitProvider: void <init>()>,1,1,1,2,1,1,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,1,2,1,1,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.lifecycle.LifecycleRegistry: void forwardPass(androidx.lifecycle.LifecycleOwner)>,0,<androidx.lifecycle.LifecycleRegistry: void pushParentState(androidx.lifecycle.Lifecycle$State)>,1,1,7,1,1,3,19,1,1,-1,19,32283.0,288704.0,8.942911129696745,176.38509338284194,7,1,1,3,19,1,1,-1,19,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,0,<androidx.appcompat.widget.ResourceManagerInternal: androidx.appcompat.widget.ResourceManagerInternal get()>,1,1,8,2,3,6,6,1,1,-1,6,32283.0,288704.0,8.942911129696745,176.38509338284194,8,2,3,6,6,1,1,-1,6,32283.0,288704.0,8.942911129696745,176.38509338284194,0
<androidx.collection.ArraySet$1: void <init>(androidx.collection.ArraySet)>,0,<androidx.collection.MapCollections: void <init>()>,1,1,7,1,1,2,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,7,1,1,2,1,1,1,-1,1,32283.0,288704.0,8.942911129696745,176.38509338284194,0
