method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<io.sentry.android.core.AndroidOptionsInitializer: void initializeCacheDirs(android.content.Context,io.sentry.android.core.SentryAndroidOptions)>",0,<io.sentry.SentryOptions: void setCacheDirPath(java.lang.String)>,1.0,1.0,11.0,1.0,0.0,1.0,5.0,1.0,1.0,-1.0,5.0,58463.0,768232.0,13.140482014265434,287.83169146820234,11.0,1.0,0.0,1.0,5.0,1.0,1.0,-1.0,5.0,58463.0,768232.0,13.140482014265434,287.83169146820234,1
<com.google.crypto.tink.shaded.protobuf.AbstractMessageLite: byte[] toByteArray()>,0,<com.google.crypto.tink.shaded.protobuf.CodedOutputStream: void <clinit>()>,1.0,1.0,8.0,6.0,5.0,111.0,7.0,1.0,1.0,-1.0,7.0,58463.0,768232.0,13.140482014265434,287.83169146820234,8.0,6.0,5.0,111.0,7.0,1.0,1.0,-1.0,7.0,58463.0,768232.0,13.140482014265434,287.83169146820234,0
<com.google.crypto.tink.KeysetManager: com.google.crypto.tink.proto.Keyset$Key newKey(com.google.crypto.tink.proto.KeyTemplate)>,0,<com.google.crypto.tink.proto.Keyset$Key$Builder: com.google.crypto.tink.proto.Keyset$Key$Builder setOutputPrefixType(com.google.crypto.tink.proto.OutputPrefixType)>,1.0,1.0,10.0,1.0,4.0,3.0,14.0,1.0,1.0,-1.0,14.0,58463.0,768232.0,13.140482014265434,287.83169146820234,10.0,1.0,4.0,3.0,14.0,1.0,1.0,-1.0,14.0,58463.0,768232.0,13.140482014265434,287.83169146820234,1
<com.appsflyer.internal.AFc1vSDK: com.appsflyer.internal.AFc1pSDK AFInAppEventType(com.appsflyer.internal.AFb1wSDK)>,0,"<com.appsflyer.internal.AFc1vSDK: java.lang.String AFKeystoreWrapper(java.net.HttpURLConnection,boolean)>",1.0,1.0,8.0,1.0,9.0,1.0,300.0,1.0,1.0,-1.0,300.0,58463.0,768232.0,13.140482014265434,287.83169146820234,8.0,1.0,9.0,1.0,300.0,1.0,1.0,-1.0,300.0,58463.0,768232.0,13.140482014265434,287.83169146820234,1
"<io.sentry.TraceContext: void serialize(io.sentry.JsonObjectWriter,io.sentry.ILogger)>",0,"<io.sentry.JsonObjectWriter: io.sentry.JsonObjectWriter value(io.sentry.ILogger,java.lang.Object)>",1.0,1.0,9.0,1.0,1.0,40.0,254.0,1.0,1.0,-1.0,254.0,58463.0,768232.0,13.140482014265434,287.83169146820234,9.0,1.0,1.0,40.0,254.0,1.0,1.0,-1.0,254.0,58463.0,768232.0,13.140482014265434,287.83169146820234,1
"<io.sentry.android.core.DefaultAndroidEventProcessor: void setDeviceIO(io.sentry.protocol.Device,boolean)>",0,<io.sentry.android.core.DefaultAndroidEventProcessor: java.lang.Float getBatteryTemperature(android.content.Intent)>,1.0,1.0,11.0,1.0,9.0,1.0,36.0,1.0,1.0,-1.0,36.0,58463.0,768232.0,13.140482014265434,287.83169146820234,11.0,1.0,9.0,1.0,36.0,1.0,1.0,-1.0,36.0,58463.0,768232.0,13.140482014265434,287.83169146820234,1
<androidx.collection.ArraySet: boolean add(java.lang.Object)>,0,<com.appsflyer.internal.AFc1nSDK: int hashCode()>,1.0,1.0,3.0,165.0,2.0,60.0,800.0,1.0,1.0,-1.0,800.0,58463.0,768232.0,13.140482014265434,287.83169146820234,3.0,165.0,2.0,60.0,800.0,1.0,1.0,-1.0,800.0,58463.0,768232.0,13.140482014265434,287.83169146820234,0
"<io.sentry.SentryEnvelopeHeader: void serialize(io.sentry.JsonObjectWriter,io.sentry.ILogger)>",0,"<io.sentry.JsonObjectWriter: io.sentry.JsonObjectWriter value(io.sentry.ILogger,java.lang.Object)>",1.0,1.0,8.0,2.0,1.0,40.0,253.0,1.0,1.0,-1.0,253.0,58463.0,768232.0,13.140482014265434,287.83169146820234,8.0,2.0,1.0,40.0,253.0,1.0,1.0,-1.0,253.0,58463.0,768232.0,13.140482014265434,287.83169146820234,1
"<io.sentry.android.core.ActivityLifecycleIntegration: void register(io.sentry.IHub,io.sentry.SentryOptions)>",0,"<io.sentry.DiagnosticLogger: void log(io.sentry.SentryLevel,java.lang.String,java.lang.Object[])>",1.0,1.0,6.0,1.0,5.0,152.0,12.0,1.0,1.0,-1.0,12.0,58463.0,768232.0,13.140482014265434,287.83169146820234,6.0,1.0,5.0,152.0,12.0,1.0,1.0,-1.0,12.0,58463.0,768232.0,13.140482014265434,287.83169146820234,0
<com.google.crypto.tink.proto.KeyTemplate$Builder: com.google.crypto.tink.proto.KeyTemplate$Builder setValue(com.google.crypto.tink.shaded.protobuf.ByteString)>,0,"<com.google.crypto.tink.proto.KeyTemplate: void access$400(com.google.crypto.tink.proto.KeyTemplate,com.google.crypto.tink.shaded.protobuf.ByteString)>",1.0,1.0,9.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,58463.0,768232.0,13.140482014265434,287.83169146820234,9.0,1.0,1.0,1.0,4.0,1.0,1.0,-1.0,4.0,58463.0,768232.0,13.140482014265434,287.83169146820234,1
